id_video,id_traccia,nome_classe,prima_comparsa,ultima_comparsa,durata_traccia,numero_osservazioni,confidenza_media
video001,1,person,0.0,14.0,14.0,43,0.89
video001,2,clock,0.0,17.5,17.5,57,0.5171
video001,3,remote,0.0,0.0,0.0,1,0.3221
video001,5,person,0.75,20.25,19.5,79,0.9069
video001,7,refrigerator,1.0,6.75,5.75,10,0.4651
video001,11,person,2.0,2.75,0.75,4,0.3627
video001,13,tie,2.5,2.75,0.25,2,0.7591
video001,29,tie,6.75,13.0,6.25,26,0.5705
video001,30,tie,6.75,9.5,2.75,11,0.5549
video001,56,person,17.5,29.75,12.25,19,0.7707
video001,58,book,17.5,17.75,0.25,2,0.4114
video001,64,bottle,18.75,19.0,0.25,2,0.3666
video001,66,person,19.5,29.75,10.25,42,0.9179
video001,73,book,21.25,23.75,2.5,10,0.3855
video001,80,person,24.25,29.75,5.5,15,0.8588
video001,81,clock,24.25,29.5,5.25,13,0.4068
video001,82,tie,24.25,25.5,1.25,6,0.4828
video001,83,book,24.25,29.0,4.75,11,0.3887
video001,89,book,25.75,26.25,0.5,3,0.3306
video001,94,book,27.25,28.25,1.0,5,0.396
video001,104,tie,28.75,29.75,1.0,5,0.5429
video001,105,tie,28.75,29.25,0.5,3,0.3124
video002,1,person,0.0,38.75,38.75,155,0.9099
video002,2,person,0.0,34.5,34.5,137,0.8827
video002,3,tie,0.0,12.25,12.25,18,0.6085
video002,14,tie,4.25,7.5,3.25,6,0.6889
video002,16,tie,6.0,6.25,0.25,2,0.7116
video002,20,cell phone,7.25,7.25,0.0,1,0.7878
video002,23,cell phone,8.25,9.25,1.0,5,0.769
video002,26,potted plant,8.75,10.25,1.5,7,0.4628
video002,41,tie,12.75,22.75,10.0,31,0.6364
video002,52,tie,19.25,28.0,8.75,16,0.5987
video002,54,cell phone,19.75,19.75,0.0,1,0.3976
video002,62,cell phone,23.75,29.75,6.0,2,0.727
video002,63,person,23.75,32.75,9.0,37,0.8371
video002,73,potted plant,26.0,26.25,0.25,2,0.4755
video002,75,tie,26.25,34.0,7.75,5,0.6127
video002,79,handbag,27.0,28.75,1.75,6,0.4618
video002,84,potted plant,27.75,28.0,0.25,2,0.4199
video002,92,handbag,29.25,30.25,1.0,5,0.4108
video002,93,tie,29.25,29.5,0.25,2,0.5116
video002,98,potted plant,30.25,30.75,0.5,3,0.4925
video002,105,handbag,31.5,32.75,1.25,6,0.6356
video002,106,potted plant,31.5,38.75,7.25,11,0.6662
video002,138,potted plant,37.0,37.25,0.25,2,0.8036
video002,141,person,37.25,37.75,0.5,3,0.7968
video002,142,person,37.25,37.75,0.5,3,0.6819
video003,1,person,0.0,2.25,2.25,8,0.8164
video003,2,person,0.0,20.0,20.0,35,0.6872
video003,3,person,0.0,3.75,3.75,9,0.6634
video003,4,person,0.0,10.25,10.25,24,0.5963
video003,5,tie,0.0,1.25,1.25,6,0.2864
video003,6,chair,0.0,2.75,2.75,10,0.6185
video003,9,person,2.0,4.0,2.0,9,0.8173
video003,20,car,5.0,5.5,0.5,3,0.8757
video003,21,person,5.0,5.5,0.5,3,0.6908
video003,22,person,5.0,5.5,0.5,3,0.6478
video003,23,person,5.0,5.5,0.5,3,0.6498
video003,26,person,5.25,5.5,0.25,2,0.3526
video003,28,car,9.0,10.25,1.25,6,0.4204
video003,31,car,18.25,36.75,18.5,75,0.8002
video003,32,person,18.25,36.75,18.5,74,0.899
video003,35,potted plant,18.25,19.25,1.0,4,0.3597
video003,39,person,18.75,35.0,16.25,66,0.8984
video003,43,car,19.0,23.0,4.0,16,0.6608
video003,45,car,19.25,19.5,0.25,2,0.846
video003,56,bus,19.75,20.25,0.5,2,0.4691
video003,64,bus,20.25,24.5,4.25,16,0.581
video003,65,person,20.5,20.5,0.0,1,0.741
video003,67,refrigerator,20.5,24.5,4.0,10,0.4783
video003,77,person,21.75,22.25,0.5,2,0.6394
video003,83,person,22.75,26.25,3.5,5,0.7862
video003,84,person,22.75,22.75,0.0,1,0.7072
video003,87,person,23.0,23.5,0.5,2,0.7336
video003,90,person,23.5,23.5,0.0,1,0.7715
video003,92,car,23.75,34.0,10.25,42,0.6002
video003,95,car,24.5,25.0,0.5,3,0.6896
video003,96,person,24.75,25.25,0.5,3,0.5439
video003,104,refrigerator,26.5,29.75,3.25,12,0.5921
video003,105,car,26.5,29.5,3.0,5,0.6581
video003,107,car,26.75,27.5,0.75,4,0.5908
video003,115,car,31.5,34.25,2.75,3,0.4288
video003,117,car,32.75,32.75,0.0,1,0.6275
video003,134,potted plant,36.25,36.25,0.0,1,0.3402
video003,135,bottle,36.5,36.5,0.0,1,0.477
video004,1,dog,0.0,19.0,19.0,71,0.8152
video004,12,person,5.5,6.25,0.75,4,0.8261
video004,15,person,7.5,7.5,0.0,1,0.5848
video004,24,person,17.0,17.25,0.25,2,0.4128
video004,26,person,20.0,20.25,0.25,2,0.5525
video005,1,person,0.0,11.75,11.75,48,0.507
video005,2,remote,0.0,0.0,0.0,1,0.3411
video005,7,dog,2.25,29.25,27.0,64,0.5322
video005,9,dog,3.75,3.75,0.0,1,0.3563
video005,13,person,10.25,11.75,1.5,7,0.384
video005,16,person,13.5,27.75,14.25,28,0.4228
video005,17,cat,13.75,15.0,1.25,5,0.4007
video005,29,person,18.5,20.75,2.25,6,0.3965
video005,30,person,19.75,21.25,1.5,7,0.4639
video005,39,person,26.25,27.0,0.75,4,0.4542
video005,47,oven,28.25,29.25,1.0,5,0.375
video005,49,person,29.0,29.0,0.0,1,0.3211
video006,1,person,0.0,19.75,19.75,59,0.8716
video006,2,suitcase,0.0,0.0,0.0,1,0.3346
video006,8,person,1.5,1.75,0.25,2,0.5695
video006,14,microwave,3.25,10.5,7.25,30,0.4684
video006,18,person,13.0,15.25,2.25,10,0.903
video006,26,suitcase,17.75,29.75,12.0,47,0.8512
video006,28,person,18.25,18.25,0.0,1,0.4265
video006,29,person,18.5,18.5,0.0,1,0.3866
video006,34,suitcase,19.25,24.25,5.0,21,0.6704
video006,35,tv,20.25,25.0,4.75,20,0.3239
video007,1,person,0.0,6.25,6.25,26,0.8638
video007,2,bed,0.0,4.0,4.0,15,0.6502
video007,3,remote,0.0,0.0,0.0,1,0.7224
video007,4,tv,0.0,0.25,0.25,2,0.4494
video007,18,bed,5.0,13.75,8.75,23,0.616
video007,25,chair,6.75,7.5,0.75,4,0.6333
video007,34,remote,8.0,9.5,1.5,7,0.8693
video007,35,person,8.25,10.0,1.75,7,0.5775
video007,37,bed,8.75,13.0,4.25,10,0.5719
video007,40,person,10.0,12.0,2.0,3,0.5055
video008,1,person,0.0,6.5,6.5,27,0.8188
video008,2,person,0.0,46.75,46.75,188,0.844
video008,5,bottle,1.0,14.0,13.0,21,0.3501
video008,7,person,1.5,1.75,0.25,2,0.2999
video008,18,bottle,5.0,6.0,1.0,5,0.3565
video008,26,refrigerator,7.25,44.25,37.0,123,0.7776
video008,50,tie,18.5,21.75,3.25,12,0.393
video008,59,donut,25.75,26.0,0.25,2,0.5345
video008,64,dog,27.5,27.75,0.25,2,0.5034
video008,66,person,28.0,46.5,18.5,75,0.8529
video008,82,bottle,30.0,46.5,16.5,63,0.3918
video008,83,bottle,30.0,46.0,16.0,62,0.4111
video008,84,bottle,30.0,36.25,6.25,13,0.3377
video008,93,person,30.5,33.25,2.75,9,0.6218
video008,112,bottle,31.75,33.25,1.5,7,0.3314
video008,116,person,32.25,36.75,4.5,3,0.3288
video008,118,bottle,32.5,33.25,0.75,4,0.3116
video008,131,dog,35.25,41.5,6.25,16,0.4738
video008,134,bottle,35.5,36.25,0.75,4,0.3476
