"titolo_video";"macroarea";"risposta"
"Video 1";"spaziale";"sul pavimento della farmacia"
"Video 1";"temporale";"urla dopo che l'uomo con la maschera salti fuori"
"Video 1";"causale";"perché il farmacista lo ha spaventato"
"Video 2";"spaziale";"dietro la coppia"
"Video 2";"temporale";"sbuffa dopo aver capito che fosse la moglie di lui"
"Video 2";"causale";"perché fa finta di essere alla guida della sua auto e di non poter parlare"
"Video 3";"spaziale";"sul tettuccio della macchina rossa"
"Video 3";"temporale";"dopo che spinge la tv di sotto"
"Video 3";"causale";"perché l'auto che gli ha prestato ha subito danni"
"Video 4";"spaziale";"sul prato"
"Video 4";"temporale";"il cane prima gira su se stesso e poi abbaia 2 volte"
"Video 4";"causale";"perché non era stato eseguito bene il comando"
"Video 5";"spaziale";"nell'orecchio del gatto"
"Video 5";"temporale";"dopo aver spremuto la confezione"
"Video 5";"causale";"perché è stato inserito un liquido per pulire le orecchie eserve per fargli fare effetto"
"Video 6";"spaziale";"nel citofono del palazzo dove deve consegnare"
"Video 6";"temporale";"quello che sta consegnando le pizze le pizze"
"Video 6";"causale";"perché si è accorto che il rider è in ritardo con la consegna"
"Video 7";"spaziale";"sdraiata ai piedi del letto in terra"
"Video 7";"temporale";"prima"
"Video 7";"causale";"perché è inciamapta sul tappeto"
"Video 8";"spaziale";"se lo nasconde nel petto"
"Video 8";"temporale";"arriva dopo quando si accorge che stanno rubando"
"Video 8";"causale";"perché l'amico lo ha convinto a rubare e lui è spaventato"
"Video 9";"spaziale";"il cliente mette i 100 dollari  nella mano prima di darli al receptionist"
"Video 9";"temporale";"viene scambiato per omosessuale prima di chiedere il cambio di stanza"
"Video 9";"causale";"perché è arrabbiato che il receptionist abbia assunto che lui e suo genero siano una coppia"
"Video 10";"spaziale";"dall'interodel tetto dell'ospedale"
"Video 10";"temporale";"dopo la pioggia torrenziale"
"Video 10";"causale";"perché il reparto di malattie infettive è danneggiato"
"Video 11";"spaziale";"davanti all'uomo con il maglione verde"
"Video 11";"temporale";"dopo averlo chiamato ed essersi accorta che sta al cellulare a giocare"
"Video 11";"causale";"perché è sconcertata dal fatto che il padre preferisca stare a giocare con il telefono anziché andare da lei che lo chiama"
"Video 12";"spaziale";"sulla palpebra mobile"
"Video 12";"temporale";"la base color crema viene stesa prima per rendere più facile la sfumatura"
"Video 12";"causale";"perché ha paura che sfumando l'ombretto il fondotinta possa rovinarsi con i glitter che le cadono su"
"Video 13";"spaziale";"i cucchiai di farina vengono inseriti dentro la ciotola con il composto a poco a poco"
"Video 13";"temporale";"dopo aver rotto le uova e prima di mettere lo zucchero nella ciotola"
"Video 13";"causale";"perché prima di inserire la farina il composto deve essere mescolato fino ad essere spumoso"
"Video 14";"spaziale";"vicino al tubo di irrigazione due dita sotto terra"
"Video 14";"temporale";"l'animale trasparente lo trova mentre scava la terra"
