"titolo_video";"macroarea";"risposta"
"Video 1";"spaziale";"sotto il bancone"
"Video 1";"temporale";"dopo"
"Video 1";"causale";"per paura"
"Video 2";"spaziale";"dietro l'uomo con gli occhiali"
"Video 2";"temporale";"dopo"
"Video 2";"causale";"per depistare la moglie"
"Video 3";"spaziale";"sulla macchina rossa"
"Video 3";"temporale";"dopo"
"Video 3";"causale";"perchè è la macchina dello zio"
"Video 4";"spaziale";"davanti l'uomo"
"Video 4";"temporale";"spin"
"Video 4";"causale";"per fargli eseguire meglio il comando"
"Video 5";"spaziale";"nell'orecchio"
"Video 5";"temporale";"dopo"
"Video 5";"causale";"perchè nell'orecchio vi è un liquido"
"Video 6";"spaziale";"citofono"
"Video 6";"temporale";"bianca"
"Video 6";"causale";"perchè le pizze sono consegnate in ritardo"
"Video 7";"spaziale";"per terra"
"Video 7";"temporale";"prima"
"Video 7";"causale";"perchè è caduta"
"Video 8";"spaziale";"nel gilet"
"Video 8";"temporale";"dopo"
"Video 8";"causale";"perchè sta rubando"
"Video 9";"spaziale";"in bocca al portiere"
"Video 9";"temporale";"dopo"
"Video 9";"causale";"perchè non è omosessuale"
"Video 10";"spaziale";"dal controsoffitto"
"Video 10";"temporale";"dopo"
"Video 10";"causale";"perchè il controsoffitto è caduto e piove nel reparto"
"Video 11";"spaziale";"nelle mani di papà"
"Video 11";"temporale";"dopo"
"Video 11";"causale";"perchè il padre dice una bugia"
"Video 12";"spaziale";"su tutta la palpebra mobile"
"Video 12";"temporale";"prima"
"Video 12";"causale";"per evitare di rovinare il fondotinta"
"Video 13";"spaziale";"nel bicchiere"
"Video 13";"temporale";"dopo"
"Video 13";"causale";"per aspettare che il composto sia spumoso"
"Video 14";"spaziale";"nel terreno"
"Video 14";"temporale";"prima"
"Video 14";"causale";"è una pratica che si utilizza per la lattuga"
"Video 15";"spaziale";"in un palazzetto dello sport"
"Video 15";"temporale";"lo scorso anno"
"Video 15";"causale";"perchè rientrata nella finalissima"
"Video 16";"spaziale";"sopra"
"Video 16";"temporale";"dopo"
"Video 16";"causale";"perchè è una sua preferenza"
"Video 17";"spaziale";"sotto la sabbia"
"Video 17";"temporale";"dopo"
"Video 17";"causale";"perchè costruisce castelli di sabbia"
"Video 18";"spaziale";"alla sua scrivania"
"Video 18";"temporale";"dopo"
"Video 18";"causale";"perchè angosciato dal destino di eloise"
"Video 19";"spaziale";"sulle gambe della bambina"
"Video 19";"temporale";"dopo"
"Video 19";"causale";"perchè non sa leggere"
"Video 20";"spaziale";"dalla sedia"
"Video 20";"temporale";"prima"
"Video 20";"causale";"ha sentito il botto"
"Video 21";"spaziale";"in basso"
"Video 21";"temporale";"riportare a casa i due ragazzi"
"Video 21";"causale";"perchè lui deve riportarli a casa"
"Video 22";"spaziale";"in prigione"
"Video 22";"temporale";"prima"
"Video 22";"causale";"perchè sono i fogli del divorzio"
"Video 23";"spaziale";"dal bordo della piscina"
"Video 23";"temporale";"scendere"
"Video 23";"causale";"per averla bagnata"
"Video 24";"spaziale";"dentro casa"
"Video 24";"temporale";"dopo"
"Video 24";"causale";"per bendarsi"
"Video 25";"spaziale";"davanti alla buca verso il mare"
"Video 25";"temporale";"dopo"
"Video 25";"causale";"per la grande e bella buca fatta"
"Video 26";"spaziale";"quando sono giu"
"Video 26";"temporale";"quinta"
"Video 26";"causale";"perchè da un aiuto"
"Video 27";"spaziale";"in cucina"
"Video 27";"temporale";"dopo"
"Video 27";"causale";"perchè l'uomo dice di dormire in cucina"
"Video 28";"spaziale";"in un sacchetto di carta"
"Video 28";"temporale";"prima"
"Video 28";"causale";"perchè è il commesso"
"Video 29";"spaziale";"dietro"
"Video 29";"temporale";"dopo"
"Video 29";"causale";"perchè il signore gli dice che il tabaccaio è sordo"
"Video 30";"spaziale";"dentro la piscina"
"Video 30";"temporale";"prima mette i piedi in acqua"
"Video 30";"causale";"acqua fredda"
"Video 31";"spaziale";"in mano"
"Video 31";"temporale";"dopo"
"Video 31";"causale";"non gli piace"
"Video 32";"spaziale";"nel piatto"
"Video 32";"temporale";"dopo"
"Video 32";"causale";"perchè l'altra bimba se la poteva prendere prima la pasta"
"Video 33";"spaziale";"nella neve"
"Video 33";"temporale";"bobo"
"Video 33";"causale";"per i sassi"
"Video 34";"spaziale";"anastasia"
"Video 34";"temporale";"dopo"
"Video 34";"causale";"per come ha tirato la palla"
"Video 35";"spaziale";"davanti al bancone"
"Video 35";"temporale";"dopo"
"Video 35";"causale";"per i ciao"
"Video 36";"spaziale";"istituto dei ciechi di milano"
"Video 36";"temporale";"dopo"
"Video 36";"causale";"perchè nessuno si ferma"
"Video 37";"spaziale";"per terra davanti al cestino diraccolta"
"Video 37";"temporale";"dopo"
"Video 37";"causale";"la suona ogni volta che qualcuno raccoglie un rifiuto da terra e lo getta"
"Video 38";"spaziale";"davanti a nandina"
"Video 38";"temporale";"nandina"
"Video 38";"causale";"perchè nandina è una mucca e quello è un osso di mucca"
"Video 39";"spaziale";"nel menu"
"Video 39";"temporale";"prima di sedersi"
"Video 39";"causale";"perchè l'amico è suo ospite"
"Video 40";"spaziale";"piede"
"Video 40";"temporale";"quando vanno a casa"
"Video 40";"causale";"perchè ad anastasia brucia un piede"
"Video 41";"spaziale";"al mare a fare il bagno"
"Video 41";"temporale";"alle dodici di ieri"
"Video 41";"causale";"perchè sono le feste natalizie"
"Video 42";"spaziale";"al mare"
"Video 42";"temporale";"dopo"
"Video 42";"causale";"la sabbia brucia"
"Video 43";"spaziale";"palestra"
"Video 43";"temporale";"dopo"
"Video 43";"causale";"è cieca"
"Video 44";"spaziale";"da dietro"
"Video 44";"temporale";"prima"
"Video 44";"causale";"perchè inseguita"
"Video 45";"spaziale";"in rete"
"Video 45";"temporale";"prima"
"Video 45";"causale";"erano solo in sue per contenere la folla"
"Video 46";"spaziale";"sullo schermo del telefono"
"Video 46";"temporale";"l'orario"
"Video 46";"causale";"lo verifica dal telefono"
"Video 47";"spaziale";"sul tavolo"
"Video 47";"temporale";"prima"
"Video 47";"causale";"gli viene comunicato che un suo parente ha avuto un incidente"
"Video 48";"spaziale";"sulla cattedra"
"Video 48";"temporale";"maglietta gialla"
"Video 48";"causale";"un incantesimo"
"Video 49";"spaziale";"in una scuola che ha bisogno di manutenzione edile"
"Video 49";"temporale";"tre anni"
"Video 49";"causale";"esperienza lavorativa"
"Video 50";"spaziale";"per strada"
"Video 50";"temporale";"dopo"
"Video 50";"causale";"i bambini vanno a piedi e non usano mezzi di trasporto"
"Video 51";"spaziale";"sul tavolo"
"Video 51";"temporale";"dopo"
"Video 51";"causale";"perchè ha capito il comando"
"Video 52";"spaziale";"nella macchina"
"Video 52";"temporale";"prima"
"Video 52";"causale";"per fare un regalo"
"Video 53";"spaziale";"tra i denti"
"Video 53";"temporale";"prima"
"Video 53";"causale";"la da al facchino"
"Video 54";"spaziale";"parcheggio"
"Video 54";"temporale";"prima"
"Video 54";"causale";"perchè il parcheggio è pieno"
"Video 55";"spaziale";"al mare"
"Video 55";"temporale";"prima"
"Video 55";"causale";"fredda"
"Video 56";"spaziale";"nel barattolo di vetro"
"Video 56";"temporale";"dopo"
"Video 56";"causale";"ha la fobia degli insetti"
"Video 57";"spaziale";"l'altra"
"Video 57";"temporale";"già stava masticando"
"Video 57";"causale";"perchè da un video non si può desumere un profumo"
"Video 58";"spaziale";"in faccia"
"Video 58";"temporale";"mentre è in treno"
"Video 58";"causale";"perchè ha una macchia in faccia"
"Video 59";"spaziale";"in gondola"
"Video 59";"temporale";"prima"
"Video 59";"causale";"si sta rilassando"
"Video 60";"spaziale";"sui piedi"
"Video 60";"temporale";"dopo"
"Video 60";"causale";"ha le mani ancora bagnate"
"Video 61";"spaziale";"per terra"
"Video 61";"temporale";"dopo"
"Video 61";"causale";"perchè si è rotto il telefono"
"Video 62";"spaziale";"sulla vita"
"Video 62";"temporale";"un'altra gonna"
"Video 62";"causale";"non va bene"
"Video 63";"spaziale";"a teatro"
"Video 63";"temporale";"dopo"
"Video 63";"causale";"su richiesta di una bambina"
"Video 64";"spaziale";"dal piano di sopra"
"Video 64";"temporale";"dopo"
"Video 64";"causale";"non ci sta"
"Video 65";"spaziale";"sala giunta di palazzo san giacomo"
"Video 65";"temporale";"hanno già conseguito il diploma"
"Video 65";"causale";"perchè meritevole"
"Video 66";"spaziale";"sul muro"
"Video 66";"temporale";"dopo"
"Video 66";"causale";"perchè lo guarda sempre e gli sta sullo stomaco"
"Video 67";"spaziale";"addosso a l'altro uomo"
"Video 67";"temporale";"dopo"
"Video 67";"causale";"no vuole essere toccato"
"Video 68";"spaziale";"alla fine del corridoio"
"Video 68";"temporale";"prima"
"Video 68";"causale";"per spiegare cosa si fa nella palestra"
"Video 69";"spaziale";"palestra"
"Video 69";"temporale";"dopo"
"Video 69";"causale";"perchè l'allenatore voleva vedere come le faceva"
"Video 70";"spaziale";"in braccio all'uomo"
"Video 70";"temporale";"prima"
"Video 70";"causale";"vuole essere lasciata"
"Video 71";"spaziale";"davanti a lei"
"Video 71";"temporale";"prima"
"Video 71";"causale";"l'altra bambina la guida"
"Video 72";"spaziale";"nel bidone"
"Video 72";"temporale";"il ragazzo sistema"
"Video 72";"causale";"per il disordine"
"Video 73";"spaziale";"sul letto"
"Video 73";"temporale";"ragazza"
"Video 73";"causale";"perchè lei ha paura"
"Video 74";"spaziale";"in bagno"
"Video 74";"temporale";"prima"
"Video 74";"causale";"per lavarli bene"
"Video 75";"spaziale";"vicino a lei"
"Video 75";"temporale";"dopo"
"Video 75";"causale";"ordinanza del sindaco"
"Video 76";"spaziale";"acqua"
"Video 76";"temporale";"prima"
"Video 76";"causale";"perchè uno è blu ed uno verde"
"Video 77";"spaziale";"sul pavimento"
"Video 77";"temporale";"prima"
"Video 77";"causale";"dorme"
"Video 78";"spaziale";"nel quaderno"
"Video 78";"temporale";"dopo"
"Video 78";"causale";"perchè non stava facendo i compiti"
"Video 79";"spaziale";"a scuola"
"Video 79";"temporale";"dopo"
"Video 79";"causale";"perchè ha appreso notizie da uno scienziato giapponese"
"Video 80";"spaziale";"in mano ad una ragazza"
"Video 80";"temporale";"dopo"
