id,video_id,video_name,pool_id,pool_item,question_category,question,caption,foil,answer1,answer2,target,model,mode,raw_model_output,predicted_label,is_correct,result,error
video001_causale_01,video001,video001.mp4,video001_causale,1,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché si è spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché si è spaventato.,1,gemma-4-12B,only_video,0,0,0,wrong,
video001_causale_02,video001,video001.mp4,video001_causale,2,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.,0,gemma-4-12B,only_video,0,0,1,correct,
video001_causale_03,video001,video001.mp4,video001_causale,3,causale,Perché il signore con gli occhiali balbetta?,"Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.,"Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.,0,gemma-4-12B,only_video,0,0,1,correct,
video001_causale_04,video001,video001.mp4,video001_causale,4,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,0,gemma-4-12B,only_video,0,0,1,correct,
video001_spaziale_01,video001,video001.mp4,video001_spaziale,1,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,1,gemma-4-12B,only_video,0,0,0,wrong,
video001_spaziale_02,video001,video001.mp4,video001_spaziale,2,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,1,gemma-4-12B,only_video,0,0,0,wrong,
video001_spaziale_03,video001,video001.mp4,video001_spaziale,3,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,"L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo nel retro della farmacia, nella zona dietro il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo nel retro della farmacia, nella zona dietro il bancone.",0,gemma-4-12B,only_video,1,1,0,wrong,
video001_spaziale_04,video001,video001.mp4,video001_spaziale,4,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,1,gemma-4-12B,only_video,0,0,0,wrong,
video001_temporale_01,video001,video001.mp4,video001_temporale,1,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.,0,gemma-4-12B,only_video,0,0,1,correct,
video001_temporale_02,video001,video001.mp4,video001_temporale,2,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.,0,gemma-4-12B,only_video,0,0,1,correct,
video001_temporale_03,video001,video001.mp4,video001_temporale,3,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla successivamente all'uscita improvvisa dell'uomo con la maschera.,L'uomo con gli occhiali urla prima dell'uscita improvvisa dell'uomo con la maschera.,L'uomo con gli occhiali urla prima dell'uscita improvvisa dell'uomo con la maschera.,L'uomo con gli occhiali urla successivamente all'uscita improvvisa dell'uomo con la maschera.,1,gemma-4-12B,only_video,0,0,0,wrong,
video001_temporale_04,video001,video001.mp4,video001_temporale,4,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo con la maschera salti fuori.,L'uomo con gli occhiali urla mentre l'uomo con la maschera salti fuori.,L'uomo con gli occhiali urla dopo che l'uomo con la maschera salti fuori.,L'uomo con gli occhiali urla mentre l'uomo con la maschera salti fuori.,0,gemma-4-12B,only_video,1,1,0,wrong,
video002_causale_01,video002,video002.mp4,video002_causale,1,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie di trovarsi in una strada trafficata e non con l'amante.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie che il telefono non funzioni.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie che il telefono non funzioni.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie di trovarsi in una strada trafficata e non con l'amante.,1,gemma-4-12B,only_video,0,0,0,wrong,
video002_causale_02,video002,video002.mp4,video002_causale,2,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie.,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per divertire la moglie.,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per divertire la moglie.,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie.,1,gemma-4-12B,only_video,0,0,0,wrong,
video002_causale_03,video002,video002.mp4,video002_causale,3,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,"L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei.","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere impegnato in una riunione importante e quindi di non poter parlare con lei.","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei.","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere impegnato in una riunione importante e quindi di non poter parlare con lei.",0,gemma-4-12B,only_video,0,0,1,correct,
video002_causale_04,video002,video002.mp4,video002_causale,4,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché finge di essere alla guida della sua auto e di non poter parlare.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far ridere la moglie.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché finge di essere alla guida della sua auto e di non poter parlare.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far ridere la moglie.,0,gemma-4-12B,only_video,1,1,0,wrong,
video002_spaziale_01,video002,video002.mp4,video002_spaziale,1,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,La moglie dell'uomo con gli occhiali si trova in agguato dietro un muretto.,La moglie dell'uomo con gli occhiali si trova su una barca a vela.,La moglie dell'uomo con gli occhiali si trova in agguato dietro un muretto.,La moglie dell'uomo con gli occhiali si trova su una barca a vela.,0,gemma-4-12B,only_video,0,0,1,correct,
video002_spaziale_02,video002,video002.mp4,video002_spaziale,2,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,La moglie dell'uomo con gli occhiali si trova dietro di lui.,La moglie dell'uomo con gli occhiali si trova davanti a lui.,La moglie dell'uomo con gli occhiali si trova davanti a lui.,La moglie dell'uomo con gli occhiali si trova dietro di lui.,1,gemma-4-12B,only_video,0,0,0,wrong,
video002_spaziale_03,video002,video002.mp4,video002_spaziale,3,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,"La moglie dell'uomo con gli occhiali si trova alle spalle della coppia, dietro l'uomo con gli occhiali.","La moglie dell'uomo con gli occhiali si trova davanti alla coppia, di fronte all'uomo con gli occhiali.","La moglie dell'uomo con gli occhiali si trova davanti alla coppia, di fronte all'uomo con gli occhiali.","La moglie dell'uomo con gli occhiali si trova alle spalle della coppia, dietro l'uomo con gli occhiali.",1,gemma-4-12B,only_video,0,0,0,wrong,
video002_spaziale_04,video002,video002.mp4,video002_spaziale,4,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,La moglie dell'uomo con gli occhiali si trova dietro la coppia.,La moglie dell'uomo con gli occhiali si trova davanti alla coppia.,La moglie dell'uomo con gli occhiali si trova davanti alla coppia.,La moglie dell'uomo con gli occhiali si trova dietro la coppia.,1,gemma-4-12B,only_video,0,0,0,wrong,
video002_temporale_01,video002,video002.mp4,video002_temporale,1,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,La donna bionda sbuffa dopo che il telefono squilla.,La donna bionda sbuffa prima che il telefono squilli.,La donna bionda sbuffa prima che il telefono squilli.,La donna bionda sbuffa dopo che il telefono squilla.,1,gemma-4-12B,only_video,0,0,0,wrong,
