id_video,status,numero_segmenti,numero_elementi,numero_errori,output
video084,completed,5,68,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video084_semantic.json
video085,completed,10,132,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video085_semantic.json
video086,completed,10,118,2,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video086_semantic.json
video087,completed,11,156,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video087_semantic.json
video088,completed,14,144,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video088_semantic.json
video089,completed,9,196,2,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video089_semantic.json
video090,completed,6,117,6,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video090_semantic.json
video091,completed,11,139,1,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video091_semantic.json
video092,completed,10,191,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video092_semantic.json
video093,completed,10,104,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video093_semantic.json
video094,completed,10,142,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video094_semantic.json
video095,completed,9,132,2,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video095_semantic.json
video096,completed,12,88,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video096_semantic.json
video097,completed,7,146,3,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video097_semantic.json
video098,completed,14,202,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video098_semantic.json
video099,completed,12,127,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video099_semantic.json
video100,completed,12,163,0,/data01/mdeodati/MAIA-AV/data/preliminar_analysis/entity/entity_semantic/qwen-30B/video100_semantic.json
