titolo_video;macroarea;risposta
Video 1;spaziale;sul pavimento della farmacia, nella zona sotto il bancone
Video 1;temporale;successivamente all'uscita improvvisa dell'uomo con la maschera, quando scoppia a urlare
Video 1;causale;perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura
Video 2;spaziale;alle spalle della coppia, dietro l'uomo con gli occhiali
Video 2;temporale;in seguito alla scoperta che la donna al telefono è la moglie dell'uomo
Video 2;causale;per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei
Video 3;spaziale;sopra il tettuccio sfondato dell'auto sportiva
Video 3;temporale;successivamente al momento in cui spinge la televisione verso il basso
Video 3;causale;perché l'auto rossa, ricevuta in prestito dallo zio, ha riportato dei danni
Video 4;spaziale;sul prato, di fronte all'uomo
Video 4;temporale;il cane esegue prima una rotazione completa su se stesso e successivamente abbaia due volte
Video 4;causale;per correggere l'esecuzione del comando, che inizialmente non era stata svolta correttamente
Video 5;spaziale;all'interno dell'orecchio del gatto e del cane
Video 5;temporale;in seguito alla spremitura della confezione e all'applicazione del prodotto
Video 5;causale;perché nell'orecchio è stato applicato un liquido detergente che deve avere il tempo di agire
Video 6;spaziale;nel citofono del palazzo presso cui deve effettuare la consegna
Video 6;temporale;l'uomo in bianco che deve consegnare l'ordine delle pizze
Video 6;causale;perché si rende conto che il rider sta effettuando la consegna delle pizze in ritardo
Video 7;spaziale;a terra, sdraiata ai piedi del letto
Video 7;temporale;in un momento precedente rispetto all'azione successiva
Video 7;causale;perché inciampa sul tappeto e finisce a terra
Video 8;spaziale;nascosto sul petto, all'interno del gilet
Video 8;temporale;in seguito, quando arriva e si accorge che è in corso un furto
Video 8;causale;perché partecipa al furto dopo essere stato convinto dall'amico e la situazione lo spaventa
Video 9;spaziale;vicino al receptionist, con i cento dollari prima tenuti in mano e poi consegnati a lui
Video 9;temporale;prima di chiedere il cambio di stanza, dopo essere stato scambiato per omosessuale
Video 9;causale;perché si arrabbia quando il receptionist presume che lui e suo genero siano una coppia, cosa che lui nega
Video 10;spaziale;dalla parte interna del tetto dell'ospedale, attraverso il controsoffitto
Video 10;temporale;successivamente alla pioggia torrenziale
Video 10;causale;perché il controsoffitto ha ceduto, l'acqua entra nel reparto e l'area di malattie infettive risulta danneggiata
Video 11;spaziale;davanti al padre con il maglione verde, tra le sue mani
Video 11;temporale;dopo averlo chiamato e aver visto che continua a giocare con il cellulare
Video 11;causale;perché è sconcertata dal comportamento del padre: le dice una bugia e preferisce giocare al telefono invece di raggiungerla
Video 12;spaziale;sull'intera superficie della palpebra mobile
Video 12;temporale;in precedenza, stendendo la base color crema per facilitare la successiva sfumatura
Video 12;causale;per proteggere il fondotinta ed evitare che i glitter dell'ombretto lo rovinino durante la sfumatura
Video 13;spaziale;nel recipiente contenente il composto, aggiungendo la farina gradualmente
Video 13;temporale;dopo aver rotto le uova ma prima di aggiungere lo zucchero
Video 13;causale;perché bisogna attendere e mescolare finché il composto diventa spumoso prima di incorporare la farina
Video 14;spaziale;nel terreno, circa due dita sotto la superficie e vicino al tubo di irrigazione
Video 14;temporale;durante lo scavo della terra, prima delle fasi successive
Video 14;causale;perché è una tecnica adatta soltanto ad alcuni tipi di piante, tra cui la lattuga, e in questo caso si tratta proprio di lattuga
Video 15;spaziale;sulla pedana di una palestra all'interno di un palazzetto dello sport
Video 15;temporale;nell'anno precedente
Video 15;causale;perché era arrivata alla finalissima, concludendo come vicecampionessa italiana al nastro
Video 16;spaziale;sopra il pezzo di carne, davanti al tagliere, mentre viene macinato
Video 16;temporale;in un momento successivo alla preparazione del brodo vegetale, quando viene macinato il pepe
Video 16;causale;per una preferenza personale del cuoco, che nella ricetta gradisce una quantità maggiore di sedano
Video 17;spaziale;nella sabbia, vicino al bambino
Video 17;temporale;dopo la chiusura del libro e prima che la madre guardi la fotografia del figlio
Video 17;causale;perché il bambino, sulla spiaggia, ha costruito un castello di sabbia molto grande
Video 18;spaziale;alla scrivania posta davanti alla finestra
Video 18;temporale;dopo essersi seduto, nel momento in cui saluta la donna
Video 18;causale;perché lei percepisce che è angosciato e preoccupato per il destino di Eloise, anche se lui sostiene il contrario
Video 19;spaziale;sulla bambina: il padre le porge il libro, mettendoglielo in mano e appoggiandolo sulle gambe
Video 19;temporale;successivamente, mentre il padre spiega che deve prima finire di lavorare e che mangeranno più tardi
Video 19;causale;perché, quando riceve il libro, la bambina fa notare di non saper leggere
Video 20;spaziale;dalla sedia, secondo quanto riferisce il professore
Video 20;temporale;il petardo viene fatto esplodere prima che la classe smetta di fare confusione
Video 20;causale;perché sente il forte botto del petardo e accorre per capire che cosa stia succedendo in classe
Video 21;spaziale;in una posizione più in basso, e non sopra la donna
Video 21;temporale;quando la donna gli chiede di riportare a casa i due ragazzi, cioè i suoi figli
Video 21;causale;perché alla donna sono stati portati via i figli e lui deve riportarli a casa
Video 22;spaziale;nella cella della prigione in cui sono finiti entrambi
Video 22;temporale;in precedenza, quando la moglie di Scott gli fa recapitare i documenti del divorzio da firmare
Video 22;causale;perché si tratta dei documenti inviati dalla moglie, che intende divorziare
Video 23;spaziale;dal gonfiabile a forma di coda di sirena, posto vicino al bordo della piscina
Video 23;temporale;prima di entrare in acqua, nel momento in cui deve scendere
Video 23;causale;perché la bambina, salendo sul gonfiabile, l'ha bagnata
Video 24;spaziale;all'interno della casa, nella zona in cui le bambine stanno giocando a mosca cieca
Video 24;temporale;successivamente all'inizio del gioco della mosca cieca
Video 24;causale;perché deve bendarsi per fare la mosca e cercare di prendere le altre bambine
Video 25;spaziale;sul bagnasciuga, davanti alla grande buca scavata verso il mare
Video 25;temporale;dopo che la persona che riprende ha salutato le bambine
Video 25;causale;perché la bambina ha scavato nella sabbia una buca enorme e molto bella, grande quasi quanto una piscina
Video 26;spaziale;verso il basso, seguendo la discesa del macchinario
Video 26;temporale;alla quinta ripetizione, quindi immediatamente dopo la quarta
Video 26;causale;perché in quel momento lo spotter può intervenire e fornire assistenza all'uomo durante l'esercizio sul macchinario
Video 27;spaziale;in cucina, vicino alla porta alle spalle della ragazza con il maglione blu
Video 27;temporale;dopo che la ragazza apre la porta, quando comincia a ridere
Video 27;causale;perché lo zio dice di dormire in cucina e questa affermazione fa ridere la ragazza
Video 28;spaziale;all'interno di un sacchetto di carta
Video 28;temporale;prima di salutare il fruttivendolo, quando i due uomini decidono di acquistare le banane
Video 28;causale;perché il negoziante, in qualità di commesso, imbusta i prodotti che i due hanno deciso di acquistare, comprese le banane
Video 29;spaziale;dietro l'angolo, nella zona in cui si trova l'anziano con il maglione a righe
Video 29;temporale;dopo che l'uomo in camicia bianca entra in tabaccheria seguendo le indicazioni dell'uomo con il maglione a righe, momento in cui il tabaccaio si arrabbia
Video 29;causale;perché gli era stato detto che il tabaccaio fosse sordo o comunque sentisse poco
Video 30;spaziale;all'interno della piscina, dove la signora vorrebbe sistemare i gonfiabili
Video 30;temporale;"prima mette il piede nell'acqua; la donna glielo permette perché la bambina con la maglia rosa non ha ancora cenato"
Video 30;causale;perché, dopo aver immerso il piede nella piscina, si accorge che l'acqua è molto fredda
Video 31;spaziale;direttamente nella bocca della bambina, usando la mano
Video 31;temporale;dopo che l'avocado è già stato messo in bocca, quando la donna la incoraggia a provarlo
Video 31;causale;perché il cibo che le è stato messo in bocca non le piace affatto
Video 32;spaziale;nel piatto appoggiato sul tavolo
Video 32;temporale;successivamente, quando l'altra bambina non sta guardando e lei la prende
Video 32;causale;perché non vuole condividere la pasta e teme che l'altra bambina possa prenderla prima
Video 33;spaziale;nella distesa di neve davanti ai due uomini
Video 33;temporale;Bobo, indicato anche come Nassi, è il primo dei due a passare in vantaggio
Video 33;causale;perché temono che sotto la neve possano esserci dei sassi e che, saltandoci sopra, possano farsi male
Video 34;spaziale;vicino alla siepe, dove Anastasia è la prima a prendere la palla
Video 34;temporale;dopo che Vanessa viene rimproverata, quando Anastasia comincia a fare le flessioni
Video 34;causale;perché Vanessa ha lanciato la palla troppo forte verso Anastasia senza considerare che è più piccola
Video 35;spaziale;di fronte al bancone del bar
Video 35;temporale;il primo cliente che si presenta è quello che non saluta il barista
Video 35;causale;perché il contatore rosso aumenta ogni volta che un cliente non dice ciao o non saluta il barista
Video 36;spaziale;davanti alle strisce pedonali nei pressi dell'Istituto dei Ciechi di Milano
Video 36;temporale;dopo aver detto che si fingerà cieco per immedesimarsi nella parte
Video 36;causale;perché aspetta che le automobili si fermino per farlo attraversare, ma nessuna si arresta
Video 37;spaziale;a terra, sulla strada del parco e davanti al cestino dei rifiuti
Video 37;temporale;dopo il gesto civile compiuto dalla donna, come modo per celebrarlo
Video 37;causale;per celebrare ogni gesto civico: suona quando qualcuno raccoglie un rifiuto da terra e lo getta nel cestino
Video 38;spaziale;sul prato, davanti a Nandina
Video 38;temporale;Nandina, la mucca, è la prima ad avvicinarsi e ad annusare l'osso
Video 38;causale;perché si tratta di un osso di mucca mostrato davanti alle mucche e poi dato ai cani, con Nandina presente
Video 39;spaziale;sul menu che tiene davanti a sé
Video 39;temporale;prima di sedersi: inizialmente gli comunica che è suo ospite e poi prende posto
Video 39;causale;perché vuole fare una cortesia all'amico, che considera suo ospite
Video 40;spaziale;nella zona immediatamente sotto il piede
Video 40;temporale;dopo essere tornati a casa
Video 40;causale;perché vede Anastasia in sofferenza, con il piede che brucia, e teme anche che possano tirarle i capelli
Video 41;spaziale;a fare il bagno in mare nonostante sia inverno
Video 41;temporale;a mezzogiorno del giorno precedente
Video 41;causale;perché è il periodo delle feste natalizie e la tradizione prevede di fare il bagno in mare
Video 42;spaziale;sul bagnasciuga, in riva al mare
Video 42;temporale;in seguito, dato che all'inizio indossava ancora il vestito
Video 42;causale;perché la sabbia era troppo calda e le bruciava i piedi
Video 43;spaziale;sul tatami della palestra
Video 43;temporale;successivamente, quando riceve le indicazioni per la mossa seguente
Video 43;causale;perché è cieca o ipovedente e quindi necessita di indicazioni specifiche
Video 44;spaziale;da dietro, mentre la ragazza viene afferrata e trattenuta
Video 44;temporale;la donna prima urla e soltanto in seguito colpisce il malvivente
Video 44;causale;perché, dopo essere stata inseguita e aver reagito ai due malviventi, ha paura
Video 45;spaziale;secondo quanto riportato in rete, a Marotta nei pressi del locale New Disco Dinner
Video 45;temporale;i fatti si sono verificati in precedenza, durante la mattina
Video 45;causale;perché le forze dell'ordine intervenute per fermare la rissa erano impreparate e soltanto in due a contenere la folla
Video 46;spaziale;sullo schermo del telefono del ragazzo che sta parlando
Video 46;temporale;l'orario è la prima informazione che il ragazzo chiede all'assistente vocale
Video 46;causale;perché vuole verificare sul telefono l'ora esatta del momento in cui interroga l'assistente
Video 47;spaziale;sul tavolo, appoggiato davanti alla donna
Video 47;temporale;prima chiede che cosa può fare e successivamente dice di essere sola
Video 47;causale;perché nella truffa telefonica le viene comunicato che un suo parente è rimasto coinvolto in un incidente stradale
Video 48;spaziale;sulla cattedra, proprio davanti alla professoressa
Video 48;temporale;il ragazzo in fondo alla classe con il maglione giallo
Video 48;causale;perché la professoressa esprime il desiderio, quasi fosse un incantesimo, di trovarsi al posto dei bambini
Video 49;spaziale;all'interno di una scuola che necessita di manutenzione, dove gli studenti stanno svolgendo lavori
Video 49;temporale;per un periodo di tre anni
Video 49;causale;per offrire esperienza lavorativa sul campo: una scuola insegna il mestiere e l'altra necessita di riparazioni, così i due istituti collaborano
Video 50;spaziale;per strada, nel luogo in cui si trovano i bambini
Video 50;temporale;l'applicazione del progetto è stata sviluppata in un momento successivo
Video 50;causale;perché i bambini si spostano a piedi: non è un vero autobus, non usa mezzi motorizzati e quindi non inquina
Video 51;spaziale;sul tavolo blu collocato in fondo alla classe
Video 51;temporale;la bambina si muove in precedenza, mentre l'altra azione avviene successivamente
Video 51;causale;perché ha compreso un comando che nessuno aveva mai utilizzato prima per far tornare indietro qualcuno
Video 52;spaziale;sui sedili posteriori dell'automobile
Video 52;temporale;in precedenza, subito dopo aver fumato il sigaro, quando comincia a tossire
Video 52;causale;perché sta andando a prendere una bambina e vuole portarle un regalo per non presentarsi a mani vuote
Video 53;spaziale;in bocca, stretto tra i denti
Video 53;temporale;era già stato tappato in un momento precedente
Video 53;causale;perché lo consegna al facchino, che si occuperà di accompagnarli in camera
Video 54;spaziale;nel parcheggio, lungo una strada sterrata
Video 54;temporale;è accaduto in precedenza, secondo il racconto
Video 54;causale;perché il parcheggio è completamente pieno, con moltissime automobili presenti
Video 55;spaziale;a riva, presso il mare
Video 55;temporale;il padre è entrato in acqua prima di tutti gli altri
Video 55;causale;perché l'acqua del mare è particolarmente fredda
Video 56;spaziale;nel barattolo di vetro che contiene anche un cucchiaino
Video 56;temporale;si mangia a tavola successivamente, dopo che l'insetto è stato raccolto nel tovagliolo
Video 56;causale;perché ha una vera fobia degli insetti e ne è molto spaventata
Video 57;spaziale;nel piatto dell'altra bambina, Anastasia, mentre davanti a lei si trova il piatto con la pizza
Video 57;temporale;si trovava già a masticare
Video 57;causale;perché qualcuno ha preso le cozze e viene detto che hanno un buon odore, anche se dal video il profumo non può essere verificato direttamente
Video 58;spaziale;sul volto della bambina, in particolare sulla guancia
Video 58;temporale;durante il viaggio in treno
Video 58;causale;perché sulla guancia presenta una macchia che appare simile a un livido
Video 59;spaziale;seduti su una gondola lungo un canale di Venezia
Video 59;temporale;durante il giro, dopo aver spiegato come sono saliti, la bambina commenta che andare in gondola è rilassante
Video 59;causale;perché si sta rilassando ed è felice di vivere per la prima volta l'esperienza della gondola
Video 60;spaziale;sulla mano e sul piede, soprattutto nella zona dei piedi
Video 60;temporale;in precedenza, mentre corre per asciugarsi le mani
Video 60;causale;perché non si è asciugata bene, la pelle resta umida e la sabbia si attacca a mani e piedi
Video 61;spaziale;a terra, davanti al divano
Video 61;temporale;dopo che la donna entra nella stanza e vede le bambine litigare
Video 61;causale;perché le bambine litigano per il telefono e durante la lite il dispositivo si rompe
Video 62;spaziale;sui fianchi e intorno alla vita, per prendere le misure
Video 62;temporale;vuole vedere un'altra gonna e anche una scatola di mutande
Video 62;causale;perché quella provata non le convince e preferisce la seconda gonna vista sul bancone
Video 63;spaziale;sul palco del teatro, accanto al conduttore
Video 63;temporale;successivamente alla domanda posta dalla bambina
Video 63;causale;perché una bambina gli chiede espressamente di imitare la voce del Genio di Aladdin
Video 64;spaziale;al piano superiore, sopra le scale
Video 64;temporale;in un momento successivo
Video 64;causale;perché il cuscino non entra correttamente nel divano e questo la rende scomoda
Video 65;spaziale;nella sala della Giunta di Palazzo San Giacomo, all'interno di un edificio di Napoli
Video 65;temporale;dopo aver già conseguito il diploma
Video 65;causale;perché è considerato meritevole: vengono premiati gli studenti del Comune di Napoli diplomati con cento e lode
Video 66;spaziale;appeso al muro, sopra le decorazioni
Video 66;temporale;Peppino consegna prima il regalo alla moglie e soltanto successivamente le chiede di togliere il quadro
Video 66;causale;perché il quadro lo mette a disagio: sente di essere osservato e l'espressione raffigurata lo inquieta e gli sta sullo stomaco
Video 67;spaziale;sulla giacca e sulle mani dell'uomo con il completo grigio, quindi addosso a lui
Video 67;temporale;dopo aver iniziato a importunare l'altro uomo, quello con il cappello si mette a ridere
Video 67;causale;perché l'uomo dice chiaramente di non voler essere toccato né trattato con troppa confidenza, ma l'altro continua a importunarlo
Video 68;spaziale;in fondo al corridoio
Video 68;temporale;prima di entrare in palestra: il ragazzo ha già il volantino in mano
Video 68;causale;perché il volantino contiene il programma e gli serve per capire che cosa si fa nella palestra e come funziona la struttura
Video 69;spaziale;in palestra, accanto all'istruttore che lo sprona
Video 69;temporale;in un momento seguente
