model,model_id,sample_position,video_id,question_index,condition,generation_step,module,layer,head,input_attention,generated_history_attention,video_attention,video_source_share,audio_attention,audio_source_share,transcription_attention,transcription_source_share,question_attention,question_source_share,other_text_attention,other_text_source_share,generated_token_id,generated_token
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,0,1.0,0.0,0.9830818772315979,0.9830818772315979,0.0,0.0,0.0,0.0,6.6113930188294034e-06,6.6113930188294034e-06,0.016911502927541733,0.016911502927541733,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,1,1.0,0.0,0.9317092895507812,0.9317092895507812,0.0,0.0,0.0,0.0,0.0035148444585502148,0.0035148444585502148,0.06477590650320053,0.06477590650320053,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,2,0.9999999403953552,5.960464477539063e-08,0.08744803071022034,0.08744803592252945,0.0,0.0,0.0,0.0,0.00719025731086731,0.007190257739440068,0.9053616523742676,0.9053617063380305,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,3,1.0,0.0,0.37995606660842896,0.37995606660842896,0.0,0.0,0.0,0.0,0.002886926755309105,0.002886926755309105,0.6171570420265198,0.6171570420265198,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,4,1.0000001192092896,0.0,0.35680681467056274,0.3568067721358809,0.0,0.0,0.0,0.0,0.011100329458713531,0.0111003281354513,0.6320929527282715,0.6320928773769287,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,5,0.9999998807907104,1.1920928955078125e-07,0.9178663492202759,0.9178664586384843,0.0,0.0,0.0,0.0,0.006091793533414602,0.006091794259613068,0.07604174315929413,0.07604175222417739,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,6,1.0,0.0,0.7146140336990356,0.7146140336990356,0.0,0.0,0.0,0.0,0.005943637806922197,0.005943637806922197,0.27944234013557434,0.27944234013557434,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,7,0.9999998807907104,1.1920928955078125e-07,0.8357042074203491,0.8357043070440658,0.0,0.0,0.0,0.0,0.0036531207151710987,0.003653121150657076,0.1606425791978836,0.16064259834797362,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,8,1.0,0.0,0.93178790807724,0.93178790807724,0.0,0.0,0.0,0.0,0.002551897894591093,0.002551897894591093,0.06566021591424942,0.06566021591424942,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,9,0.9999999403953552,5.960464477539063e-08,0.7786648273468018,0.778664873758845,0.0,0.0,0.0,0.0,0.0006500553572550416,0.0006500553960013625,0.22068507969379425,0.2206850928476508,235270,ന്‍സ്
