model,model_id,sample_position,video_id,question_index,condition,question,generated_text,input_tokens,generated_tokens,video_tokens,audio_tokens,transcription_tokens,question_tokens,other_text_tokens
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,Dove salgono i passeggeri?,ന്‍സ് решению പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड പ്രവര്‍ത്തി শুনেවා hardship सेकेंड പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड मिश्रulle alliesнавлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി,8326,64,8192,0,0,8,126
gemma-12B,google/gemma-3-12b-it,1,91,2,audio_video,La donna urla agli uomini prima o dopo che inizino a correre?,ന്‍സ് решению പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड പ്രവര്‍ത്തി শুনেවා hardship सेकेंड പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍,8334,64,8192,0,0,16,126
gemma-12B,google/gemma-3-12b-it,1,91,3,audio_video,Cosa causa l'ira della donna?,ന്‍സ് решению പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड പ്രവര്‍ത്തി){}навли শুনেවා hardship सेकेंड പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി শুনেවා hardship sgtнавлиേഷന്‍ പ്രവര്‍ത്തി শুনেවා hardship सेकेंड मिश्रulle alliesнавлиേഷന്‍ പ്രവര്‍ത്തി hardship सेकेंड मिश्रulle alliesнавлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍,8327,64,8192,0,0,9,126
gemma-12B,google/gemma-3-12b-it,1,91,1,transcription_video,Dove salgono i passeggeri?,навли அடுத்து레스 सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंड मिश्रulleصف primaryStage煒сион primaryStage煒сион primaryStage煒男女煒男女صف primaryStage煒男女,8418,64,8192,0,83,8,135
gemma-12B,google/gemma-3-12b-it,1,91,2,transcription_video,La donna urla agli uomini prima o dopo che inizino a correre?,навли அடுத்து레스 सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंडවා hardship सेकेंड सेकेंडවා hardship सेकेंडවා hardship सेकेंड सेकेंड सेकेंडවා hardship सेकेंडኖር){}навлинавлинавлинавлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി শুনেවා hardship सेकेंड सेकेंड सेकेंड मिश्रulleصف primaryStage煒сион primaryStage煒сион primaryStageéries){}навлиേഷന്‍ പ്രവര്‍ത്തി,8426,64,8192,0,83,16,135
gemma-12B,google/gemma-3-12b-it,1,91,3,transcription_video,Cosa causa l'ira della donna?,ridicu सेकेंड सेकेंड सेकेंड सेकेंड सेकेंडවා hardship सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंड सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंडවා hardship सेकेंड решению പ്രവര്‍ത്തി শুনেවා hardship सेकेंड मिश्रulle redeнавлинавлинавлиേഷന്‍ പ്രവര്‍ത്തി){}навлиേഷന്‍ പ്രവര്‍ത്തി){},8419,64,8192,0,83,9,135
gemma-12B,google/gemma-3-12b-it,2,42,1,audio_video,Dove hanno lavato le mani il bambino con la maglietta blu e la bambina con il vestito rosa?,탔 المضcedores(){}ेष(){}ेषثیرብስéries(){}ेषثیر레스 રહ્યું Acadéries(){}ेषثیر레스 રહ્યું Acadéries(){}ेषثیر레스 રહ્યું Acadéries(){}ेषثیر레스 રહ્યું Acadéries){}ţi ভাঙ্গা诏 grandsേഷന്‍ പ്രവര്‍ത്തിстр പ്രവര്‍ത്തിстор રહ્યું Acadéries){}ţiιτε zeudenéries){}ţiιτε zeudenéries){} പ്രവര്‍ത്തിстр,8342,64,8192,0,0,24,126
gemma-12B,google/gemma-3-12b-it,2,42,2,audio_video,Sami si mette la crema solare prima o dopo essere andata a riva?,탔 المضcedores(){}することができます പ്രവര്‍ത്തിстр सेकेंडéries(){}することができますවාാര്‍ Var одеждыብስéries(){}することができますවාാര്‍ Var одеждыብስéries(){}することができますවාാര്‍ Var primaryStageéries(){}することができますවාാര്‍accaratţi آد Pharmac(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){},8336,64,8192,0,0,18,126
gemma-12B,google/gemma-3-12b-it,2,42,3,audio_video,Perché la bambina con la maglietta gialla torna correndo sull'asciugamano?,탔 المضcedores стимулиብስéries(){}することができますţiιτε zeudenéries(){}することができますţiιτε zeudenéries(){}することができますţiιτε zeudenéries(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){},8339,64,8192,0,0,21,126
gemma-12B,google/gemma-3-12b-it,2,42,1,transcription_video,Dove hanno lavato le mani il bambino con la maglietta blu e la bambina con il vestito rosa?,탔 المضcedores({});することができますാര്‍сторアクセサリーാര്‍accarat韬్రే(){}ेष(){}ेषثیر सेकेंड Var primaryStageéries(){}ेषثیر सेकेंड Var primaryStageéries(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){},8385,64,8192,0,34,24,135
gemma-12B,google/gemma-3-12b-it,2,42,2,transcription_video,Sami si mette la crema solare prima o dopo essere andata a riva?,탔 المضcedores επιχει infamousCntr confundಟ್ಟಿ}{}(){}ţi التر loudlyнавли(){}ेष(){}ेषثیر सेकेंडстор રહ્યું(){} पढ़ेंगे सेकेंड জড়িয়েéries(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){}(){},8379,64,8192,0,34,18,135
