model,video_id,dim,question,score_entita,score_eventi,score_inferenza,score_comprensione,livello,proficiency_pass,vsv_item_accuracy,vsv_correct_items,vsv_pool_correct
gemma,video001,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video001,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,50,30,20,25,insufficiente,0,0.25,1,0
gemma,video001,causale,Perché il signore con gli occhiali balbetta?,50,60,40,45,parziale,0,1.0,4,1
gemma,video002,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,100,100,100,100,completa,1,1.0,4,1
gemma,video002,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video002,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,50,30,20,30,insufficiente,0,0.5,2,0
gemma,video003,spaziale,"Quando l'uomo con la maglietta gialla dice: 'Ma chi c'ha messo qui?', dov'è il 'qui'?",50,30,20,30,insufficiente,0,0.75,3,0
gemma,video003,temporale,La finestra del balcone viene chiusa prima o dopo che l'uomo urli 'barbone'?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video003,causale,Perché l'uomo con la maglietta gialla si preoccupa di cosa dirà allo zio?,50,20,10,20,insufficiente,0,0.75,3,0
gemma,video004,spaziale,Dove si trova il cane quando viene dato il comando 'dietro'?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video004,temporale,"Cosa viene ordinato prima al cane, 'due' o 'spin'?",0,0,0,0,insufficiente,0,1.0,4,1
gemma,video004,causale,Perché il padrone dice al cane 'incrocia bene'?,50,30,20,25,insufficiente,0,0.0,0,0
gemma,video005,spaziale,Dove viene inserito il beccuccio della lozione?,50,40,30,35,parziale,0,1.0,4,1
gemma,video005,temporale,Il massaggio viene fatto prima o dopo l'applicazione del detergente auricolare?,50,50,30,40,parziale,0,0.75,3,0
gemma,video005,causale,Perché il massaggio all'orecchio del cane produce un suono?,50,40,30,35,parziale,0,1.0,4,1
