model,video_id,question_order,question,principal_dimension,principal_label,diagnostic_label,complexity_level,entity_required,event_required,inference_required,objective_criterion,evidence_scope,evidence_units,information_explicitness,temporal_dependency,dimension_combination,score_entita,score_eventi,score_inferenza,score_comprensione,livello,evidenza_recuperata,evidenza_mancante,motivazione
gemma-4-12B,video001,1,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,spaziale,S1,S1|T0,1,uomo con il camice; rimedio al singhiozzo,ricerca del rimedio al singhiozzo da parte dell'uomo con il camice,"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta",una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale,local_interval,1,esplicita,moderata,"[""spaziale"", ""temporale""]",50,30,20,30,parziale,"['uomo con il camice identificato come farmacista', 'presenza di scaffali con prodotti farmaceutici']","['ricerca del rimedio al singhiozzo', 'localizzazione specifica del rimedio al singhiozzo', 'evento di ricerca del rimedio al singhiozzo']","Il modello ha identificato l'uomo con il camice come farmacista e ha riconosciuto la presenza di scaffali con prodotti farmaceutici, ma non ha recuperato informazioni specifiche sulla ricerca del rimedio al singhiozzo. Mancano dettagli sull'evento di ricerca e sulla localizzazione del rimedio, rendendo l'inferenza spaziale richiesta impossibile."
gemma-4-12B,video001,2,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,temporale,T1,T1,1,uomo con gli occhiali; uomo dietro il bancone,evento A: l'uomo con gli occhiali urla; evento B: l'uomo dietro il bancone esce,"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto",localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili,two_intervals,2,esplicita,alta,"[""temporale""]",50,50,30,40,parziale,"[""L'uomo con gli occhiali è identificato come 'cliente' o 'intervistato' in vari segmenti."", ""L'uomo dietro il bancone è identificato come 'farmacista' in vari segmenti."", ""L'uomo con gli occhiali urla nel segmento 0005.""]","[""Non è chiaro se e quando l'uomo dietro il bancone esce."", ""Non è chiaro se l'urlo avviene prima o dopo l'uscita dell'uomo dietro il bancone.""]","Il modello ha identificato correttamente le entità principali, ma manca l'evento specifico dell'uomo dietro il bancone che esce. Inoltre, non è stata stabilita una relazione temporale chiara tra l'urlo dell'uomo con gli occhiali e l'uscita dell'uomo dietro il bancone. Questo rende difficile determinare la sequenza temporale richiesta dalla domanda."
gemma-4-12B,video001,3,Perché il signore con gli occhiali balbetta?,causale,C2,C2|T1,2,signore con gli occhiali,effetto da spiegare: il signore con gli occhiali balbetta; causa/antecedente: da identificare nell'evidenza disponibile,riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video,"la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile",two_intervals,2,implicita,moderata,"[""causale"", ""temporale""]",50,40,30,35,parziale,"['Identificazione del signore con gli occhiali come cliente/intervistato in vari segmenti.', 'Eventi di interazione e conversazione tra il signore con gli occhiali e il farmacista.']","['Descrizione esplicita del signore con gli occhiali che balbetta.', 'Causa o contesto che spiega il balbettio del signore con gli occhiali.', 'Inferenza sulla motivazione o stato mentale del signore con gli occhiali.']","Il modello ha identificato il signore con gli occhiali e alcuni eventi di interazione, ma manca l'osservazione diretta del balbettio e la causa o il contesto che lo spiega. L'inferenza richiesta non è supportata dalle evidenze disponibili."
gemma-4-12B,video002,1,Dove si trova la moglie dell'uomo con gli occhiali?,spaziale,S0,S0,0,moglie dell'uomo con gli occhiali; uomo con gli occhiali; luogo in cui si trova la moglie,localizzazione della moglie dell'uomo con gli occhiali,identificare il referente target; recuperare una singola evidenza spaziale direttamente osservabile; restituire la localizzazione senza confronto tra fasi,recupero spaziale diretto da una singola evidenza stabile; nessun confronto temporale o ricostruzione di stato,single_frame,1,esplicita,nessuna,"[""spaziale""]",100,100,100,100,completa,"[""Identificazione dell'uomo con gli occhiali (e1) e della donna (e2) in più segmenti."", ""Relazione spaziale 'vicino a' tra l'uomo e la donna in diversi segmenti."", ""Eventi di interazione tra l'uomo e la donna, come baci e conversazioni."", ""La donna è sempre vicina all'uomo con gli occhiali in tutti i segmenti osservati.""]",[],"Il modello ha identificato correttamente tutte le entità richieste, inclusi l'uomo con gli occhiali e la donna, che è presumibilmente sua moglie. Gli eventi di interazione tra i due sono stati osservati e descritti, e la relazione spaziale tra di loro è stata chiaramente stabilita in più segmenti. Non ci sono lacune significative nella rappresentazione che impediscano di rispondere alla domanda."
gemma-4-12B,video002,2,La donna bionda sbuffa prima o dopo che il telefono squilli?,temporale,T1,T1,1,donna bionda; telefono,evento A: la donna bionda sbuffa; evento B: il telefono squilla,"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto",localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili,two_intervals,2,esplicita,alta,"[""temporale""]",0,0,0,0,insufficiente,[],"['Evento A: la donna bionda sbuffa', 'Evento B: il telefono squilla', 'Relazione temporale tra lo sbuffo della donna e lo squillo del telefono']","La rappresentazione del modello non include alcuna informazione sugli eventi specifici richiesti dalla domanda: lo sbuffo della donna bionda e lo squillo del telefono. Senza questi eventi, non è possibile determinare la relazione temporale richiesta. Pertanto, la comprensione è insufficiente."
gemma-4-12B,video002,3,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,causale,C2,C2|T1,2,uomo con gli occhiali; telefono,effetto da spiegare: l'uomo fa strani versi e allontana il telefono dall'orecchio; causa/antecedente: da identificare nell'evidenza disponibile,riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video,"la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile",two_intervals,2,implicita,moderata,"[""causale"", ""temporale""]",50,30,20,25,insufficiente,"['uomo con occhiali identificato', 'telefono identificato', 'uomo parla al telefono']","['uomo fa strani versi al telefono', ""uomo allontana il telefono dall'orecchio"", ""causa o antecedente dell'azione dell'uomo"", ""contesto che spiega l'azione dell'uomo""]","Il modello ha identificato l'uomo con gli occhiali e il telefono, ma non ha recuperato l'evento specifico in cui l'uomo fa strani versi e allontana il telefono dall'orecchio. Mancano anche informazioni sul contesto o la causa di questo comportamento, rendendo impossibile l'inferenza richiesta. La comprensione complessiva è insufficiente per affrontare la domanda."
gemma-4-12B,video003,1,"Quando l'uomo con la maglietta gialla dice: 'Ma chi c'ha messo qui?', dov'è il 'qui'?",spaziale,S1,S1|T0,1,uomo con la maglietta gialla; referente deittico «qui»,evento contestuale: l'uomo dice «Ma chi c'ha messo qui?»; localizzazione del referente di «qui»,"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta",una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale,local_interval,2,parzialmente implicita,moderata,"[""spaziale"", ""temporale""]",0,0,0,0,insufficiente,[],"['uomo con la maglietta gialla', ""evento in cui l'uomo dice 'Ma chi c'ha messo qui?'"", ""localizzazione del referente deittico 'qui'""]","La rappresentazione del modello non include l'uomo con la maglietta gialla né l'evento in cui pronuncia la frase 'Ma chi c'ha messo qui?'. Inoltre, manca qualsiasi riferimento alla localizzazione del 'qui'. Senza queste informazioni, non è possibile determinare il contesto spaziale richiesto dalla domanda."
gemma-4-12B,video003,2,La finestra del balcone viene chiusa prima o dopo che l'uomo urli 'barbone'?,temporale,T1,T1,1,finestra del balcone; uomo che urla «barbone»,evento A: la finestra del balcone viene chiusa; evento B: l'uomo urla «barbone»,"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto",localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili,two_intervals,2,esplicita,alta,"[""temporale""]",0,0,0,0,insufficiente,[],"['Finestra del balcone', ""Uomo che urla 'barbone'"", 'Evento di chiusura della finestra del balcone', ""Evento dell'uomo che urla 'barbone'"", ""Relazione temporale tra la chiusura della finestra e l'urlo 'barbone'""]","La rappresentazione del modello non include alcuna informazione riguardante la finestra del balcone o l'uomo che urla 'barbone'. Non sono stati identificati né gli eventi specifici richiesti né la relazione temporale tra di essi. Pertanto, la comprensione è insufficiente per affrontare la domanda."
gemma-4-12B,video003,3,Perché l'uomo con la maglietta gialla si preoccupa di cosa dirà allo zio?,causale,C2,C2|T1,2,uomo con la maglietta gialla; zio; contenuto di ciò che dovrà dire,effetto da spiegare: l'uomo si preoccupa di cosa dirà allo zio; causa/antecedente: da identificare nell'evidenza disponibile,riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video,"la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile",two_intervals,2,implicita,moderata,"[""causale"", ""temporale""]",50,30,20,25,insufficiente,"['uomo con maglietta gialla identificato in segment_0005', 'conversazione tra due uomini in segment_0009']","['nessuna menzione dello zio', ""nessuna evidenza di preoccupazione dell'uomo con la maglietta gialla"", 'nessuna informazione sul contenuto di ciò che dovrà dire', 'nessuna causa o motivazione per la preoccupazione']","La rappresentazione del modello non recupera informazioni chiave necessarie per rispondere alla domanda. Manca completamente l'identificazione dello zio e non c'è alcuna evidenza di preoccupazione o del contenuto di ciò che l'uomo con la maglietta gialla dovrà dire. Inoltre, non ci sono elementi che permettano di inferire una causa o motivazione per la preoccupazione. Pertanto, la comprensione è insufficiente."
gemma-4-12B,video004,1,Dove si trova il cane quando viene dato il comando 'dietro'?,spaziale,S1,S1|T0,1,cane; persona che impartisce il comando; posizione associata a «dietro»,evento contestuale: viene dato il comando «dietro»; localizzazione del cane in quel momento,"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta",una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale,local_interval,2,esplicita,moderata,"[""spaziale"", ""temporale""]",0,0,0,0,insufficiente,[],"[""Posizione del cane quando viene dato il comando 'dietro'."", ""Evento in cui viene dato il comando 'dietro'."", ""Relazione spaziale tra il cane e la persona al momento del comando 'dietro'."", ""Localizzazione del cane in relazione alla posizione 'dietro'.""]","La rappresentazione del modello non include alcuna informazione riguardante il comando 'dietro' o la posizione del cane in relazione a tale comando. Mancano sia l'evento del comando sia la localizzazione spaziale richiesta, rendendo impossibile rispondere alla domanda."
