id,video_id,video_name,pool_id,pool_item,question_category,question,caption,foil,answer1,answer2,target,model,mode,raw_model_output,predicted_label,is_correct,result,error
video001_causale_01,video001,video001.mp4,video001_causale,1,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché si è spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché si è spaventato.,1,gemma,only_video,1,1,1,correct,
video001_causale_02,video001,video001.mp4,video001_causale,2,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.,0,gemma,only_video,0,0,1,correct,
video001_causale_03,video001,video001.mp4,video001_causale,3,causale,Perché il signore con gli occhiali balbetta?,"Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.,"Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.,0,gemma,only_video,0,0,1,correct,
video001_causale_04,video001,video001.mp4,video001_causale,4,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,0,gemma,only_video,0,0,1,correct,
video001_spaziale_01,video001,video001.mp4,video001_spaziale,1,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,1,gemma,only_video,0,0,0,wrong,
video001_spaziale_02,video001,video001.mp4,video001_spaziale,2,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,1,gemma,only_video,0,0,0,wrong,
video001_spaziale_03,video001,video001.mp4,video001_spaziale,3,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,"L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo nel retro della farmacia, nella zona dietro il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo nel retro della farmacia, nella zona dietro il bancone.",0,gemma,only_video,0,0,1,correct,
video001_spaziale_04,video001,video001.mp4,video001_spaziale,4,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,1,gemma,only_video,0,0,0,wrong,
video001_temporale_01,video001,video001.mp4,video001_temporale,1,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.,0,gemma,only_video,1,1,0,wrong,
video001_temporale_02,video001,video001.mp4,video001_temporale,2,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.,0,gemma,only_video,1,1,0,wrong,
