id_video,status,numero_segmenti,numero_elementi,numero_errori,output
video054,completed,11,77,0,data/preliminar_analysis/entity/qwen/video054_semantic.json
video055,completed,10,70,0,data/preliminar_analysis/entity/qwen/video055_semantic.json
video056,completed,10,70,0,data/preliminar_analysis/entity/qwen/video056_semantic.json
video057,completed,12,84,0,data/preliminar_analysis/entity/qwen/video057_semantic.json
video058,completed,12,84,0,data/preliminar_analysis/entity/qwen/video058_semantic.json
video059,completed,12,84,0,data/preliminar_analysis/entity/qwen/video059_semantic.json
video060,completed,11,77,0,data/preliminar_analysis/entity/qwen/video060_semantic.json
video061,completed,10,70,0,data/preliminar_analysis/entity/qwen/video061_semantic.json
video062,completed,10,70,0,data/preliminar_analysis/entity/qwen/video062_semantic.json
video063,completed,10,70,0,data/preliminar_analysis/entity/qwen/video063_semantic.json
video064,completed,10,70,0,data/preliminar_analysis/entity/qwen/video064_semantic.json
video065,skipped,,,,data/preliminar_analysis/entity/qwen/video065_semantic.json
video066,skipped,,,,data/preliminar_analysis/entity/qwen/video066_semantic.json
video067,skipped,,,,data/preliminar_analysis/entity/qwen/video067_semantic.json
video068,skipped,,,,data/preliminar_analysis/entity/qwen/video068_semantic.json
video069,skipped,,,,data/preliminar_analysis/entity/qwen/video069_semantic.json
video070,skipped,,,,data/preliminar_analysis/entity/qwen/video070_semantic.json
video071,skipped,,,,data/preliminar_analysis/entity/qwen/video071_semantic.json
video072,skipped,,,,data/preliminar_analysis/entity/qwen/video072_semantic.json
video073,skipped,,,,data/preliminar_analysis/entity/qwen/video073_semantic.json
video074,skipped,,,,data/preliminar_analysis/entity/qwen/video074_semantic.json
video075,skipped,,,,data/preliminar_analysis/entity/qwen/video075_semantic.json
video076,skipped,,,,data/preliminar_analysis/entity/qwen/video076_semantic.json
video077,skipped,,,,data/preliminar_analysis/entity/qwen/video077_semantic.json
video078,skipped,,,,data/preliminar_analysis/entity/qwen/video078_semantic.json
video079,skipped,,,,data/preliminar_analysis/entity/qwen/video079_semantic.json
video080,skipped,,,,data/preliminar_analysis/entity/qwen/video080_semantic.json
video081,skipped,,,,data/preliminar_analysis/entity/qwen/video081_semantic.json
video082,skipped,,,,data/preliminar_analysis/entity/qwen/video082_semantic.json
video083,skipped,,,,data/preliminar_analysis/entity/qwen/video083_semantic.json
video084,skipped,,,,data/preliminar_analysis/entity/qwen/video084_semantic.json
video085,skipped,,,,data/preliminar_analysis/entity/qwen/video085_semantic.json
video086,skipped,,,,data/preliminar_analysis/entity/qwen/video086_semantic.json
video087,skipped,,,,data/preliminar_analysis/entity/qwen/video087_semantic.json
video088,skipped,,,,data/preliminar_analysis/entity/qwen/video088_semantic.json
video089,skipped,,,,data/preliminar_analysis/entity/qwen/video089_semantic.json
video090,skipped,,,,data/preliminar_analysis/entity/qwen/video090_semantic.json
video091,skipped,,,,data/preliminar_analysis/entity/qwen/video091_semantic.json
video092,skipped,,,,data/preliminar_analysis/entity/qwen/video092_semantic.json
video093,skipped,,,,data/preliminar_analysis/entity/qwen/video093_semantic.json
video094,skipped,,,,data/preliminar_analysis/entity/qwen/video094_semantic.json
video095,skipped,,,,data/preliminar_analysis/entity/qwen/video095_semantic.json
video096,skipped,,,,data/preliminar_analysis/entity/qwen/video096_semantic.json
video097,skipped,,,,data/preliminar_analysis/entity/qwen/video097_semantic.json
video098,skipped,,,,data/preliminar_analysis/entity/qwen/video098_semantic.json
video099,skipped,,,,data/preliminar_analysis/entity/qwen/video099_semantic.json
video100,skipped,,,,data/preliminar_analysis/entity/qwen/video100_semantic.json
