id,video_id,video_name,pool_id,pool_item,question_category,question,annotator,human_answer,caption,foil
video001_causale_01,video001,video001.mp4,video001_causale,1,causale,Perché il signore con gli occhiali balbetta?,Memmo,perchè si è spaventato,Il signore con gli occhiali balbetta perché si è spaventato.,Il signore con gli occhiali balbetta perché è emozionato.
video001_causale_02,video001,video001.mp4,video001_causale,2,causale,Perché il signore con gli occhiali balbetta?,barbara,per paura,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.
video001_causale_03,video001,video001.mp4,video001_causale,3,causale,Perché il signore con gli occhiali balbetta?,eli,"perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura","Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.
video001_causale_04,video001,video001.mp4,video001_causale,4,causale,Perché il signore con gli occhiali balbetta?,michela,perché il farmacista lo ha spaventato,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.
video001_spaziale_01,video001,video001.mp4,video001_spaziale,1,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,Memmo,sotto al bancone della farmacia,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.
video001_spaziale_02,video001,video001.mp4,video001_spaziale,2,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,barbara,sotto il bancone,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.
video001_spaziale_03,video001,video001.mp4,video001_spaziale,3,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,eli,"sul pavimento della farmacia, nella zona sotto il bancone","L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo sul tetto della farmacia, nella zona sopra il bancone."
video001_spaziale_04,video001,video001.mp4,video001_spaziale,4,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,michela,sul pavimento della farmacia,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.
video001_temporale_01,video001,video001.mp4,video001_temporale,1,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,Memmo,dopo,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.
video001_temporale_02,video001,video001.mp4,video001_temporale,2,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,barbara,dopo,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.
video001_temporale_03,video001,video001.mp4,video001_temporale,3,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,eli,"successivamente all'uscita improvvisa dell'uomo con la maschera, quando scoppia a urlare",L'uomo con gli occhiali urla successivamente all'uscita improvvisa dell'uomo con la maschera.,L'uomo con gli occhiali urla prima dell'uscita improvvisa dell'uomo con la maschera.
video001_temporale_04,video001,video001.mp4,video001_temporale,4,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,michela,urla dopo che l'uomo con la maschera salti fuori,L'uomo con gli occhiali urla dopo che l'uomo con la maschera salti fuori.,L'uomo con gli occhiali urla mentre l'uomo con la maschera salti fuori.
video002_causale_01,video002,video002.mp4,video002_causale,1,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,Memmo,Perchè vuol far credere alla moglie che si trova in una strada trafficata e non con l'amante,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio per far credere alla moglie che si trova in una strada trafficata e non con l'amante.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio per far credere alla moglie che l'audio del telefono non funziona e non che si trova in una strada trafficata.
video002_causale_02,video002,video002.mp4,video002_causale,2,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,barbara,per depistare la moglie,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie.,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per divertire la moglie.
video002_causale_03,video002,video002.mp4,video002_causale,3,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,eli,"per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei.","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere impegnato in una riunione importante e quindi di non poter parlare con lei."
video002_causale_04,video002,video002.mp4,video002_causale,4,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,michela,perché fa finta di essere alla guida della sua auto e di non poter parlare,L'uomo con gli occhiali finge di essere alla guida della sua auto e di non poter parlare.,L'uomo con gli occhiali finge di essere in bicicletta e di non poter parlare.
video002_spaziale_01,video002,video002.mp4,video002_spaziale,1,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,Memmo,In agguato dietro un muretto,La moglie dell'uomo con gli occhiali si trova in agguato dietro un muretto.,La moglie dell'uomo con gli occhiali si trova su una barca a vela.
video002_spaziale_02,video002,video002.mp4,video002_spaziale,2,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,barbara,dietro l'uomo con gli occhiali,La moglie dell'uomo con gli occhiali si trova dietro di lui.,La moglie dell'uomo con gli occhiali si trova davanti a lui.
video002_spaziale_03,video002,video002.mp4,video002_spaziale,3,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,eli,"alle spalle della coppia, dietro l'uomo con gli occhiali","La moglie dell'uomo con gli occhiali si trova alle spalle della coppia, dietro l'uomo con gli occhiali.","La moglie dell'uomo con gli occhiali si trova davanti alla coppia, di fronte all'uomo con gli occhiali."
video002_spaziale_04,video002,video002.mp4,video002_spaziale,4,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,michela,dietro la coppia,La moglie dell'uomo con gli occhiali si trova dietro la coppia.,La moglie dell'uomo con gli occhiali si trova davanti alla coppia.
video002_temporale_01,video002,video002.mp4,video002_temporale,1,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,Memmo,dopo,La donna bionda sbuffa dopo che il telefono squilla.,La donna bionda sbuffa prima che il telefono squilli.
video002_temporale_02,video002,video002.mp4,video002_temporale,2,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,barbara,dopo,La donna bionda sbuffa dopo che il telefono squilla.,La donna bionda sbuffa prima che il telefono squilli.
video002_temporale_03,video002,video002.mp4,video002_temporale,3,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,eli,in seguito alla scoperta che la donna al telefono è la moglie dell'uomo,La donna bionda sbuffa in seguito alla scoperta che la donna al telefono è la moglie dell'uomo.,La donna bionda sbuffa prima della scoperta che la donna al telefono è la moglie dell'uomo.
video002_temporale_04,video002,video002.mp4,video002_temporale,4,temporale,La donna bionda sbuffa prima o dopo che il telefono squilli?,michela,sbuffa dopo aver capito che fosse la moglie di lui,La donna bionda sbuffa dopo aver capito che fosse la moglie di lui.,La donna bionda sbuffa mentre capiva che fosse la moglie di lui.
video003_causale_01,video003,video003.mp4,video003_causale,1,causale,Perché l'uomo con la maglietta gialla si preoccupa di cosa dirà allo zio?,Memmo,Perchè probabilmente la macchina è dello zio,L'uomo con la maglietta gialla si preoccupa perché probabilmente la macchina è dello zio.,L'uomo con la maglietta gialla si preoccupa perché probabilmente la macchina non funziona.
