modello,id,video_id,categoria,domanda,caption,foil,nli_caption,nli_foil,esito
gemma,video001_causale_01,video001,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché si è spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,neutro,neutro,NOT PASS
gemma,video001_causale_02,video001,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta per paura.,Il signore con gli occhiali balbetta per il freddo.,neutro,neutro,NOT PASS
gemma,video001_causale_03,video001,causale,Perché il signore con gli occhiali balbetta?,"Il signore con gli occhiali balbetta perché il farmacista lo coglie di sorpresa e lo spaventa, provocandogli paura.",Il signore con gli occhiali balbetta perché è emozionato dall'incontro con il farmacista.,neutro,neutro,NOT PASS
gemma,video001_causale_04,video001,causale,Perché il signore con gli occhiali balbetta?,Il signore con gli occhiali balbetta perché il farmacista lo ha spaventato.,Il signore con gli occhiali balbetta perché è emozionato.,neutro,neutro,NOT PASS
gemma,video001_spaziale_01,video001,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto al bancone della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sopra al bancone della farmacia.,neutro,neutro,NOT PASS
gemma,video001_spaziale_02,video001,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sotto il bancone.,L'uomo con il camice cerca il rimedio al singhiozzo sopra il bancone.,neutro,neutro,NOT PASS
gemma,video001_spaziale_03,video001,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,"L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia, nella zona sotto il bancone.","L'uomo con il camice cerca il rimedio al singhiozzo nel retro della farmacia, nella zona dietro il bancone.",neutro,neutro,NOT PASS
gemma,video001_spaziale_04,video001,spaziale,Dove cerca il rimedio al singhiozzo l'uomo con il camice?,L'uomo con il camice cerca il rimedio al singhiozzo sul pavimento della farmacia.,L'uomo con il camice cerca il rimedio al singhiozzo sul bancone della farmacia.,neutro,neutro,NOT PASS
gemma,video001_temporale_01,video001,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla mentre l'uomo dietro il bancone esce.,neutro,neutro,NOT PASS
gemma,video001_temporale_02,video001,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo dietro il bancone esce.,L'uomo con gli occhiali urla prima che l'uomo dietro il bancone esca.,neutro,neutro,NOT PASS
gemma,video001_temporale_03,video001,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla successivamente all'uscita improvvisa dell'uomo con la maschera.,L'uomo con gli occhiali urla prima dell'uscita improvvisa dell'uomo con la maschera.,neutro,neutro,NOT PASS
gemma,video001_temporale_04,video001,temporale,L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?,L'uomo con gli occhiali urla dopo che l'uomo con la maschera salti fuori.,L'uomo con gli occhiali urla mentre l'uomo con la maschera salti fuori.,neutro,neutro,NOT PASS
gemma,video002_causale_01,video002,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie di trovarsi in una strada trafficata e non con l'amante.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far credere alla moglie che il telefono non funzioni.,neutro,neutro,NOT PASS
gemma,video002_causale_02,video002,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie.,Nel video l'uomo con gli occhiali fa degli strani versi al telefono per divertire la moglie.,neutro,neutro,NOT PASS
gemma,video002_causale_03,video002,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,"L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere alla guida della propria auto e di non poter parlare con lei.","L'uomo con gli occhiali fa degli strani versi al telefono per depistare la moglie, fingendo di essere impegnato in una riunione importante e quindi di non poter parlare con lei.",neutro,neutro,NOT PASS
gemma,video002_causale_04,video002,causale,Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché finge di essere alla guida della sua auto e di non poter parlare.,L'uomo con gli occhiali fa strani versi al telefono e lo allontana dall'orecchio perché vuole far ridere la moglie.,neutro,neutro,NOT PASS
gemma,video002_spaziale_01,video002,spaziale,Dove si trova la moglie dell'uomo con gli occhiali?,La moglie dell'uomo con gli occhiali si trova in agguato dietro un muretto.,La moglie dell'uomo con gli occhiali si trova su una barca a vela.,neutro,neutro,NOT PASS
