video_name;question_order;principal_dimension;question_text;diagnostic_label;complexity_level;principal_label;auxiliary_labels;entity;event;inference;objective_criterion;evidence_scope;evidence_units;information_explicitness;temporal_dependency;dimension_combination
video001.mp4;1;spaziale;Dove cerca il rimedio al singhiozzo l'uomo con il camice?;S1|T0;1;S1;T0;"uomo con il camice; rimedio al singhiozzo";ricerca del rimedio al singhiozzo da parte dell'uomo con il camice;"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta";una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale;local_interval;1;esplicita;moderata;"[""spaziale"", ""temporale""]"
video001.mp4;2;temporale;L'uomo con gli occhiali urla prima o dopo che l'uomo dietro il bancone esca?;T1;1;T1;;"uomo con gli occhiali; uomo dietro il bancone";"evento A: l'uomo con gli occhiali urla; evento B: l'uomo dietro il bancone esce";"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto";localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili;two_intervals;2;esplicita;alta;"[""temporale""]"
video001.mp4;3;causale;Perché il signore con gli occhiali balbetta?;C2|T1;2;C2;T1;signore con gli occhiali;"effetto da spiegare: il signore con gli occhiali balbetta; causa/antecedente: da identificare nell'evidenza disponibile";"riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video";la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile;two_intervals;2;implicita;moderata;"[""causale"", ""temporale""]"
video002.mp4;1;spaziale;Dove si trova la moglie dell'uomo con gli occhiali?;S0;0;S0;;"moglie dell'uomo con gli occhiali; uomo con gli occhiali; luogo in cui si trova la moglie";localizzazione della moglie dell'uomo con gli occhiali;"identificare il referente target; recuperare una singola evidenza spaziale direttamente osservabile; restituire la localizzazione senza confronto tra fasi";"recupero spaziale diretto da una singola evidenza stabile; nessun confronto temporale o ricostruzione di stato";single_frame;1;esplicita;nessuna;"[""spaziale""]"
video002.mp4;2;temporale;La donna bionda sbuffa prima o dopo che il telefono squilli?;T1;1;T1;;"donna bionda; telefono";"evento A: la donna bionda sbuffa; evento B: il telefono squilla";"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto";localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili;two_intervals;2;esplicita;alta;"[""temporale""]"
video002.mp4;3;causale;Perché l'uomo con gli occhiali fa degli strani versi al telefono e lo allontana dall'orecchio?;C2|T1;2;C2;T1;"uomo con gli occhiali; telefono";"effetto da spiegare: l'uomo fa strani versi e allontana il telefono dall'orecchio; causa/antecedente: da identificare nell'evidenza disponibile";"riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video";la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile;two_intervals;2;implicita;moderata;"[""causale"", ""temporale""]"
video003.mp4;1;spaziale;Quando l'uomo con la maglietta gialla dice: 'Ma chi c'ha messo qui?', dov'è il 'qui'?;S1|T0;1;S1;T0;"uomo con la maglietta gialla; referente deittico «qui»";"evento contestuale: l'uomo dice «Ma chi c'ha messo qui?»; localizzazione del referente di «qui»";"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta";una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale;local_interval;2;parzialmente implicita;moderata;"[""spaziale"", ""temporale""]"
video003.mp4;2;temporale;La finestra del balcone viene chiusa prima o dopo che l'uomo urli 'barbone'?;T1;1;T1;;"finestra del balcone; uomo che urla «barbone»";"evento A: la finestra del balcone viene chiusa; evento B: l'uomo urla «barbone»";"riconoscere i due eventi oppure l'evento e l'ancora temporale; localizzarli nella sequenza; determinare la relazione prima/dopo, primo/secondo, corrente/precedente o il momento richiesto";localizzazione rispetto a un'ancora temporale esplicita oppure ordinamento pairwise tra due eventi/stati direttamente identificabili;two_intervals;2;esplicita;alta;"[""temporale""]"
video003.mp4;3;causale;Perché l'uomo con la maglietta gialla si preoccupa di cosa dirà allo zio?;C2|T1;2;C2;T1;"uomo con la maglietta gialla; zio; contenuto di ciò che dovrà dire";"effetto da spiegare: l'uomo si preoccupa di cosa dirà allo zio; causa/antecedente: da identificare nell'evidenza disponibile";"riconoscere l'effetto o comportamento da spiegare; recuperare il contesto pertinente; inferire la causa/intenzione/motivazione solo se supportata dalle evidenze; evitare di colmare lacune con conoscenza non presente nel video";la risposta richiede almeno un passaggio inferenziale implicito su motivazione, intenzione, stato mentale, valutazione sociale, finalità procedurale o relazione causale non direttamente osservabile;two_intervals;2;implicita;moderata;"[""causale"", ""temporale""]"
video004.mp4;1;spaziale;Dove si trova il cane quando viene dato il comando 'dietro'?;S1|T0;1;S1;T0;"cane; persona che impartisce il comando; posizione associata a «dietro»";"evento contestuale: viene dato il comando «dietro»; localizzazione del cane in quel momento";"riconoscere l'evento o la relazione spaziale pertinente; allineare il referente all'intervallo locale; recuperare origine, destinazione, direzione, supporto o posizione richiesta";una relazione spaziale esplicita o una localizzazione condizionata da un singolo evento osservabile nello stesso intervallo locale;local_interval;2;esplicita;moderata;"[""spaziale"", ""temporale""]"
