video_name;transcription
video001.mp4;Buongiorno. Buongiorno, mi dà qualcosa per far passare il singhiozzo? Passare il singhiozzo? Sì. Sì, non è per me, è per mia moglie.
video002.mp4;chi è? è mia moglie devo rispondere da aspetta pronto amore e amore non ti posso parlare adesso sto guidando e a te mettere quattro frecce e guardo lo specchietto retrovisore
video003.mp4;capito? Barbone! Parliamo dell'altra, garanti! È il mio televisore, è il mio... Oddio, oddio, oddio, ma che è successo? Chi ci ha messo qui? E ma chi io dici a mezzio? Te chi bo che io dici? Mortacci vostri! Buon'arte!
video004.mp4;Flash, dietro, spin, due, bravissimo, vieni qua, terra, rotola, incrocia, incrocia, bravo Flash!
video005.mp4;A questo punto si inserisce il beccuccio della lozione e si spreme per far uscire il detergente auricolare. Poi, sempre mantenendo l'orecchio dritto, si massaggia i lati. Lo stesso vale per il gatto. Raddrizzare il condotto uditivo esterno, applicare la lozione e massaggiare i lati. Dopodiché si può pulire il materiale che fuori.
video006.mp4;pizza arrivo buonasera grazie sei in ritardo non te le pago
video007.mp4;ragazzi vado a farne scherzare ma adesso vi dico oggi cantiamo la nina ma non falla ma sei caduta
video008.mp4;Questa non c'è! Ha spesa proletaria, ma noi... Ma sei pazzo, lo so! Dai, dai, dai, gli ha qualche cosa per dirsi. No, no, io non prendo niente. Che cazzo! Andiamo, andiamo, andiamo fuori. Oh, ma che sei matto, ma mica dovevamo andare male, sai? Ma tagliati! Ma cosa vuoi fare? No, non voglio mica finire la sinara, scusa. No, no, no. Sì, te fermano. Parti subito con i carci alle palle. Monti sulla cassa e va verso la macchina. Quale macchina? Quella nostra, qua. Ah, la nostra macchina, sì. Scusa, io non lo so, ma preferirei che... Ehi, ma che stai facendo? Ma che stai facendo? Stai rubando? Ma che ci metti a rubare? Se parli di Don Mozzi Caracollo che ti beve il sangue come una pantera. Sì, ma stai attento, perché se no ti tiro fuori la lingua e te la taglio. E la taglio tutti a pezzettini e tocchettini. E la tua mia madre ti accondice la matriciana. Hai capito?
video009.mp4;La chiamo. Congratulazioni. Senta una cosa. No, no, aspettate un attimo. A me? 100 dollari. E scusi, al posto di avere una camera matrimoniale, non si potrebbero avere due divise? Michela? Sì? Sì. Guardi, chissà per salvare le apparenze, ne qui può contare sulla massima discrezione. Abbiamo ospitato spesso coppie omosessuali. Noi siamo pro. Ma quali omosessuali che meno piacciono gli uomini? Questo qui è il mio futuro genero Dai, diglielo pure tu
video010.mp4;Piove, guarda come piove, guarda come viene giù. Ma questa volta di romantico non c'è nulla. C'è invece un reparto ospedaliero, quello infettivi del Fazzi, e ci sono i familiari dei pazienti ricoverati che denunciano. Le immagini che stanno scorrendo d'altro canto non lasciano margine a dubbi. L'acqua scende dal controsoffitto e lungo il corridoio sono stati posizionati contenitori di fortuna per poterla raccogliere ed evitare l'allagamento della corsia. E ancora, contro soffitto che non tiene al meglio e poi impianto.
video011.mp4;papà un attimino papà no no un attimo adesso arrivo papà un secondo sei sempre al cellulare no no no ma guarda che io lo uso tanto per lavoro scandaloso
video012.mp4;Inizio dal trucco degli occhi, per evitare che il fondotinta, una volta applicato, possa essere rovinato dalla caduta dei glitter nell'ombretto che ho deciso di usare e quindi stendo una base per l'ombretto Urban Decay e neutralizzo la palpebra con un ombretto color crema anche per rendere più facile la sfumatura degli altri colori. A questo punto comincio con l'ombretto vero e proprio e uso questo colore dorato per tutta la palpebra mobile e
video013.mp4;uova intere, mezzo bicchiere di zucchero, in questo caso potreste anche utilizzare lo zucchero di canna. Mescolate fin quando il composto risulterà bello spumoso, dopodiché andiamo ad inserire la farina. Vi occorrerà un bicchiere e mezzo circa di farina, diciamo che più che altro un bicchiere colmo di farina più due cucchiai in più. La inserite a poco a poco nel composto continuando a mescolare, dopodiché
video014.mp4;Quando si trapianta la piantina nel terreno bisogna andare sotto solo così, il resto bisogna lasciarlo fuori dal terreno. Questa è una pratica che si utilizza su pochissime piante, su pochissimi ortaggi e la lattuga è una di quelle. E la... e questa si vuole portare avanti, guardate che piccola, che è trasparente. Ok, allora...
video015.mp4;Lo scorso anno nel campionato di specialità gold l'Eteria si è qualificata alla fase nazionale con le ginnaste Alice Caldora, vice campionessa italiana al nastro nel 2016, e Michela Ciccotelli, entrambe rientrate nella finalissima tra le migliori sei ginnaste specialista di tutta Italia e concludendo così il campionato nazionale con il quarto e il quinto posto. Anche nell'attuale stagione agonistica i successi sono arrivati immediatamente a Campobasso.
video016.mp4;intanto io ho fatto, ho qui su un po' di brodo vegetale che ho messo su, metto anche il sale qui dentro i buchetti così pepe sempre macinato al momento e questo è diciamo che pronto, poi che facciamo? io qui preferisco una quantità superiore di sedano, quindi che faccio? taglio il sedano quindi faccio così grossolano
video017.mp4;Ma Riccardi che ha fatto? Ha nascosto tutte le viglie sotto la sabbia? Guarda un po' che castello che ha fatto Tupi C'è pure fatto il ponte di Latoio Sta facendo da grande e si diventa un architetto Tu invece da grande puoi sempre fare il medico, no? Dottore? Lo penso che sia Franca Rampi che è biologa Quanto sei scemo Fammi vedere
video018.mp4;Ho bisogno di stare solo. È il destino di Luis che vi angoscia, forse? Devo lavorare. I miei omaggi. Prego? I miei omaggi? Sì. I miei omaggi.
video019.mp4;Ti siedi qui, Ariannina, che poi finisce di fare un lavoretto e poi si mangia. Tanto ti viaggi questo bel librone qui, guarda, che bello. Ma io non so leggere. Ma come? Ma che classe fai, scusa? Appena ho iniziato la prima. Ah, già. E vabbè, ti guardi le figure. Guarda che belle figure che c'è. Piace?
video020.mp4;Buongiorno Professor mi fate saltare l'orecchio così però? Così magari non ci senti Ma che è successo professor? E niente, Caruso è caduto dalla sedia Ma che state dicendo professor? Non ho fatto niente! Oh Caro, oh Caro, sempre tu si eh! Ti vuoi accomodare fuori che magari stai più comodo? Andiamo, andiamo, combina guai
video021.mp4;Italo, puoi anche far finta che non sia successo niente, che sia una giornata normale. Ma se non mi riporti subito mia figlia e mio figlio, perché Matteo l'ho cresciuto io e i figli non sono di chi li mette al mondo, ma di chi li ama. Guardami, se tu non me li riporti subito a casa non ci metti più piede.
video022.mp4;Dov'è Scott Lang? Vedi, è complicato. Quando ho conosciuto Scott, lui era messo male. E non sto parlando del braccio D. Sua moglie aveva chiesto il divorzio e io gli dico... Cacchio, amico, ti spattano dentro e lei ti molla. E lui dice... Sì, pensavo di stare con lei per sempre e ora mi ritrovo solo. E io gli dico... Cacchio, amico, su con la vita, troverai qualcuno di meglio. Sai che c'è? Io mi chiamo Luis e lui dice... Sai che c'è? Io mi chiamo Scott e diventeremo amici. Ok, frena, frena. È una bella storia, davvero, ma spiegami che diavolo c'entra con dove si trova Scott Lang. Ci arrivo, ci arrivo. Hai inserito la monetina, ora devi sentire tutta la canzone. È come jukebox umano. Oh, mia abuelita aveva un jukebox nel ristorante.
video023.mp4;una nonna santa Ani scendi nell'acqua e poi sali e io do il via ci sei? ci sei? infatti Vanessa non farla cadere grazie Anastasia per avermi bagnata Anastasia ti do tre secondi poi inizia la challenge ci sei? che cadi? qual è la difficoltà? si può mettere su un piedino? quale piedino? ci siamo?
video024.mp4;Qua? Nascondino. Nascondino o mosca cieca? Mosca cieca. Dai con la nonna, la nonna e la mosca cieca. Pronta? Via! Dove sei?
video025.mp4;ma che bella buca gigante piena d'acqua chi l'ha fatta ma che bella ciao aria che bella buca ci stai dentro perfettamente anastasia ma davvero che bellina se ci fossero i pesciolini
video026.mp4;e si va su 1 2 3 4 adesso vedrete anche bello per lo spotter su su vai 6 buono vedete si accarezza leggermente si può dare assistenza eccolo qua squeeze pieno e giù libero questa è bella, questa è tanta roba
