"titolo_video";"macroarea";"risposta"
"Video 1";"spaziale";"sotto al bancone della farmacia"
"Video 1";"temporale";"dopo"
"Video 1";"causale";"perchè si è spaventato"
"Video 2";"spaziale";"In agguato dietro un muretto"
"Video 2";"temporale";"dopo"
"Video 2";"causale";"Perchè vuol far credere alla moglie che si trova in una strada trafficata e non con l'amante"
"Video 3";"spaziale";"sul tettuccio della automobile Lancia"
"Video 3";"temporale";"dopo"
"Video 3";"causale";"Perchè probabilmente la macchina è dello zio"
"Video 4";"spaziale";"Quando il cane è più avanti rispetto all'inquadratura."
"Video 4";"temporale";"Indietro poi spin e poi due"
"Video 4";"causale";"Perchè non aveva incociato bene le zampe al primo comando"
"Video 5";"spaziale";"Nell'orecchio del cane"
"Video 5";"temporale";"dopo"
"Video 5";"causale";"Perchè è il suono dell'orecchio che si chiaccia con il liquido dentro produce quel suono. Un po' come il ""ciaf ciaf"" nell'acqua"
"Video 6";"spaziale";"Al citofono"
"Video 6";"temporale";"Quello con la maglia verde"
"Video 6";"causale";"Perchè è arrivato in ritardo in facoltà di speedy pizza"
"Video 7";"spaziale";"Caduta in terra a causa dell'inciampo sul tappeto"
"Video 7";"temporale";"prima"
"Video 7";"causale";"Perchè è inciampata sul tappeto facendosi male"
"Video 8";"spaziale";"Dentro la canottiera"
"Video 8";"temporale";"dopo"
"Video 8";"causale";"Perchè ha paura di essere arrestato per furto"
"Video 9";"spaziale";"In bocca al receptionist"
"Video 9";"temporale";"Fin da subito"
"Video 9";"causale";"Perchè è stato scambiato per omosessuale"
"Video 10";"spaziale";"Dai diroccamenti dell'ospedale"
"Video 10";"temporale";"dopo"
"Video 10";"causale";"Perchè le infrastrutture sono fallaci e ci piove dentro"
"Video 11";"spaziale";"in mano al padre"
"Video 11";"temporale";"subito dopo averlo chiamato"
"Video 11";"causale";"perchè il padre sta giocando piuttosto che lavorare come diceva"
"Video 12";"spaziale";"Sopra la base"
"Video 12";"temporale";"Prima"
"Video 12";"causale";"Per neutralizzare la base"
"Video 13";"spaziale";"Dopo il bicchiere sano di farina"
"Video 13";"temporale";"Dopo"
"Video 13";"causale";"Perchè prima vanno montate le uova"
"Video 14";"spaziale";"in terra alzata di due centimetri"
"Video 14";"temporale";"dopo"
"Video 14";"causale";"Perchè è lattuga e poche altre piante oltre alla lattuga devono seguire questa regola"
"Video 15";"spaziale";"in palestra"
"Video 15";"temporale";"lo scorso hanno"
"Video 15";"causale";"Perchè è vicecampionessa italiana"
"Video 16";"spaziale";"Sopra la pietanza"
"Video 16";"temporale";"dopo"
"Video 16";"causale";"Non lo specifica, però a lui piace così, grossolano"
"Video 17";"spaziale";"Sotto la sabbia"
"Video 17";"temporale";"Dopo"
"Video 17";"causale";"Perchè ha fatto un castello di sabbia molto bello"
"Video 18";"spaziale";"Alla sua scrivania"
"Video 18";"temporale";"Dopo"
"Video 18";"causale";"Per il destino di una donna chiamata Luise"
"Video 19";"spaziale";"In mano alla bambina"
"Video 19";"temporale";"Dopo"
"Video 19";"causale";"Perchè la bambina non sa leggere"
"Video 20";"spaziale";"Dalla sedia"
"Video 20";"temporale";"Prima"
"Video 20";"causale";"Perchè ha sentito la botta e non sa cosa può essere successo"
"Video 21";"spaziale";"Verso il basso"
"Video 21";"temporale";"Riportare a casa i figli"
"Video 21";"causale";"Perchè deve riportare a casa i figli"
"Video 22";"spaziale";"In prigione"
"Video 22";"temporale";"Prima"
"Video 22";"causale";"Perchè probabilmente sono i fogli del divorzio"
"Video 23";"spaziale";"In acqua"
"Video 23";"temporale";"dopo"
"Video 23";"causale";"Per averla bagnata, in senso ironico"
"Video 24";"spaziale";"dentro casa"
"Video 24";"temporale";"dopo"
"Video 24";"causale";"Perchè stanno giocando a moscacieca"
"Video 25";"spaziale";"Tra la buca e il mare"
"Video 25";"temporale";"Dopo"
"Video 25";"causale";"Per la buca che ha costruito"
"Video 26";"spaziale";"A fine corsa dell'ultima ripetizione"
"Video 26";"temporale";"dopo la 4^ ripetizione"
"Video 26";"causale";"Perchè gli può dare una mano"
